gene,X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,color,Average.UMI.per.cell..homeostatic.microglia.,Fold.change..DAM.to.homeostatic.microglia.,X.log10.DAM..p.value..Mann.Whitney.,DAM.FDR.p.value
0610040J01Rik,0610040J01Rik.2,9.75E-89,-0.825018432,0.395,0.563,2.62E-84,blue,0.269118,-0.983298,4.411716,3.516102
2510009E07Rik,2510009E07Rik,2.25E-20,-0.122307366,0.253,0.231,6.03E-16,blue,0.193824,-0.40289,0.226155,0.302922
4632427E13Rik,4632427E13Rik,6.32E-29,-0.100521883,0.326,0.286,1.70E-24,blue,0.002059,3.805967,1.398183,0.991774
4930402H24Rik,4930402H24Rik,1.50E-28,0.100097751,0.263,0.183,4.03E-24,red,0.027647,-3.400699,0.642936,0.507881
4931406P16Rik,4931406P16Rik,5.18E-56,0.433915195,0.32,0.16,1.39E-51,red,0.055588,1.367752,2.225653,1.614514
4933406I18Rik,4933406I18Rik.2,2.31E-106,-0.750591456,0.629,0.732,6.20E-102,blue,0.004706,-2.168038,0.033458,0.220785
9930021J03Rik,9930021J03Rik,1.37E-20,-0.115582961,0.367,0.333,3.67E-16,blue,0.134412,-1.196733,1.10549,0.791814
9930111J21Rik2,9930111J21Rik2.1,1.16E-22,0.120830443,0.309,0.231,3.10E-18,red,0.185882,-1.529304,1.024966,0.737776
Abca1,Abca1.1,3.54E-49,0.437840508,0.838,0.681,9.49E-45,red,0.469118,-0.903497,2.906122,2.188873
Abca9,Abca9.1,8.99E-119,-1.009072893,0.322,0.519,2.41E-114,blue,0.476765,-1.460019,3.565944,2.76587
Abcb1b,Abcb1b,1.96E-47,0.357094829,0.384,0.23,5.26E-43,red,0.053824,-0.850848,0.028013,0.219626
Abcd2,Abcd2,2.49E-27,0.285436024,0.463,0.334,6.68E-23,red,0.122353,1.384188,4.715185,3.78488
Abcg1,Abcg1.1,1.11E-52,0.442720684,0.474,0.289,2.97E-48,red,0.201471,-0.20862,0.187256,0.28161
Abhd12,Abhd12,5.71E-39,0.359015132,0.865,0.737,1.53E-34,red,1.500588,0.423508,2.114691,1.52605
Abi3,Abi3.1,5.94E-33,-0.284307006,0.407,0.42,1.59E-28,blue,0.756471,-0.592831,3.335363,2.568305
Abl1,Abl1.1,1.08E-33,-0.275252718,0.372,0.374,2.89E-29,blue,0.28,-1.288069,3.985227,3.136565
Abl2,Abl2.1,2.78E-53,0.405345232,0.517,0.329,7.47E-49,red,0.111176,-0.21458,0.165088,0.275923
Abr,Abr.1,6.65E-86,0.604068193,0.737,0.489,1.78E-81,red,0.104706,-0.405367,0.437946,0.399118
Acaca,Acaca.2,7.68E-229,1.333202598,0.671,0.295,2.06E-224,red,0.012647,2.382977,4.23655,3.356883
Acap2,Acap2.1,4.83E-37,-0.19039221,0.678,0.645,1.30E-32,blue,0.342941,-1.879657,1.703125,1.208517
Acbd3,Acbd3,1.03E-29,0.104654606,0.264,0.186,2.77E-25,red,0.139706,-1.387396,1.22869,0.876899
Acer3,Acer3,1.23E-50,0.395138696,0.729,0.539,3.30E-46,red,0.317059,0.165088,1.967167,1.409444
Acss1,Acss1.1,7.15E-27,-0.330710442,0.292,0.321,1.92E-22,blue,0.106765,-1.482039,1.12184,0.804793
Actb,Actb.1,1.46E-34,0.116332165,0.372,0.269,3.92E-30,red,13.949706,-0.354314,8.339501,7.195905
Actr2,Actr2,4.26E-39,0.114723359,0.585,0.456,1.14E-34,red,0.841765,-0.314339,0.514741,0.44218
Actr3,Actr3.2,9.18E-59,0.43016788,0.538,0.336,2.46E-54,red,0.360588,-0.652994,0.079245,0.238189
Adam10,Adam10.1,1.66E-42,-0.147708941,0.468,0.412,4.44E-38,blue,0.662059,-0.412605,1.412919,1.001773
Adam17,Adam17,1.27E-45,0.234783071,0.499,0.347,3.41E-41,red,0.358529,-0.247093,0.012428,0.213039
Adap2,Adap2.1,1.05E-61,-0.426147678,0.706,0.727,2.82E-57,blue,0.432647,-1.264355,4.919634,3.972333
Adar,Adar,4.49E-35,0.341756336,0.273,0.154,1.21E-30,red,0.058235,1.377531,2.694438,2.004117
Adcy7,Adcy7.1,8.31E-45,0.26084081,0.505,0.346,2.23E-40,red,0.211471,-1.257006,1.505332,1.067909
Aff1,Aff1.2,3.04E-29,0.216523568,0.388,0.276,8.15E-25,red,0.150882,-1.470413,1.408953,0.998367
Aff4,Aff4.1,4.61E-37,0.203754858,0.462,0.331,1.24E-32,red,0.152647,-0.386729,0.454267,0.407641
Aftph,Aftph,8.66E-41,-0.315620335,0.517,0.517,2.32E-36,blue,0.330294,-1.015778,2.184521,1.581303
Agap1,Agap1,2.15E-23,0.278215548,0.263,0.17,5.77E-19,red,0.027647,-0.915272,0.224041,0.301719
Agmo,Agmo.2,5.69E-101,-0.952622054,0.418,0.594,1.53E-96,blue,0.072353,-0.396307,0.32368,0.348337
Agps,Agps.2,3.97E-35,-0.240809682,0.431,0.416,1.07E-30,blue,0.183235,-1.008183,1.885568,1.348174
Aig1,Aig1.1,9.81E-49,0.463329598,0.472,0.29,2.63E-44,red,0.066471,1.201608,1.466252,1.040286
Aim2,Aim2,2.57E-27,0.19760427,0.548,0.424,6.90E-23,red,0.118824,-1.636425,0.948951,0.680718
Akap10,Akap10.2,1.74E-47,0.39621887,0.631,0.443,4.66E-43,red,0.081765,-0.827547,0.10304,0.248974
Akt3,Akt3.1,3.69E-78,0.490897144,0.732,0.492,9.89E-74,red,0.027647,0.581154,0.941588,0.678766
Alkbh1,Alkbh1,8.89E-44,0.334704049,0.315,0.179,2.39E-39,red,0.054412,-0.699419,0.118071,0.256244
Alpk1,Alpk1,1.44E-61,0.54083199,0.305,0.138,3.85E-57,red,0.012647,0.763249,0.03177,0.220506
Ank,Ank.1,3.24E-102,1.146982094,0.567,0.313,8.69E-98,red,0.055,4.87659,51.962204,49.47467
Ankhd1,Ankhd1.2,1.64E-41,0.182259369,0.642,0.491,4.39E-37,red,0.101765,-0.636882,0.11703,0.255994
Ankrd10,Ankrd10,2.33E-25,-0.102928081,0.252,0.221,6.26E-21,blue,0.104118,-0.880756,0.27185,0.323101
Ankrd12,Ankrd12.1,3.08E-25,0.218515064,0.527,0.404,8.28E-21,red,0.070882,0.378504,0.007325,0.211347
Ankrd17,Ankrd17,4.07E-37,0.172123209,0.682,0.539,1.09E-32,red,0.199118,-0.670183,0.433509,0.395986
Ankrd44,Ankrd44.1,2.38E-71,-0.473717348,0.778,0.812,6.39E-67,blue,0.223824,-1.280359,0.604267,0.487231
Anks1,Anks1,3.79E-41,-0.218076131,0.431,0.402,1.02E-36,blue,0.108529,-1.095602,0.491042,0.429894
Anxa3,Anxa3.1,3.37E-35,0.225534662,0.733,0.585,9.04E-31,red,0.360588,0.715602,2.429478,1.787519
Ap3b1,Ap3b1,1.87E-34,0.158812448,0.628,0.494,5.01E-30,red,0.152941,-0.1625,0.007993,0.21154
Apaf1,Apaf1,2.81E-32,0.313304809,0.265,0.153,7.54E-28,red,0.025588,0.988931,0.790499,0.587828
Apbb1ip,Apbb1ip.2,6.26E-25,-0.201486648,0.87,0.868,1.68E-20,blue,1.03,-0.626852,2.593764,1.920682
Apbb2,Apbb2.1,0,1.268607232,0.888,0.544,0,red,0.052647,2.651927,13.819744,12.394357
Apc,Apc.1,7.89E-58,-0.351629745,0.467,0.457,2.12E-53,blue,0.2,-1.292027,0.86582,0.634485
Aplp2,Aplp2.1,2.49E-98,0.737049408,0.426,0.184,6.68E-94,red,0.14,2.283658,13.981943,12.547782
Apobec1,Apobec1.2,0,1.616262594,0.737,0.319,0,red,0.154706,-0.637101,0.141998,0.268468
Apoe,Apoe.1,1.28E-146,0.950576694,0.522,0.211,3.43E-142,red,2.924118,3.428991,62.739188,59.915861
Arf4,Arf4,8.67E-44,0.326792741,0.276,0.15,2.33E-39,red,0.267059,-0.136605,0.34902,0.353493
Arfgef2,Arfgef2,5.40E-22,0.127053783,0.269,0.196,1.45E-17,red,0.037941,0.786519,0.520881,0.446
Arglu1,Arglu1.1,1.84E-43,-0.267355746,0.524,0.508,4.93E-39,blue,0.271176,-0.465914,0.770116,0.575179
Arhgap12,Arhgap12.1,6.46E-34,-0.163893155,0.497,0.456,1.73E-29,blue,0.198529,-1.263001,1.476522,1.047647
Arhgap22,Arhgap22.1,2.49E-20,-0.219342089,0.558,0.56,6.68E-16,blue,0.160588,-1.216401,1.356177,0.963946
Arhgap25,Arhgap25.2,3.90E-100,0.736829383,0.72,0.457,1.05E-95,red,0.230882,-0.10863,0.316647,0.345902
Arhgap26,Arhgap26.1,1.98E-85,0.727245608,0.381,0.164,5.31E-81,red,0.004706,3.820647,0.944637,0.679819
Arhgap39,Arhgap39.1,1.97E-23,0.11783933,0.711,0.6,5.28E-19,red,0.199118,-0.452109,1.35043,0.960607
Arhgap5,Arhgap5.2,2.14E-72,-0.512190516,0.692,0.725,5.75E-68,blue,0.865588,-0.809996,2.289853,1.667012
Arhgef2,Arhgef2.1,2.80E-43,0.123303292,0.381,0.271,7.52E-39,red,0.265588,-0.777167,1.124745,0.807246
Arhgef6,Arhgef6,3.52E-28,-0.168141827,0.305,0.281,9.44E-24,blue,0.199706,-0.761524,1.207354,0.866424
Arid1a,Arid1a.1,1.29E-36,-0.210740539,0.524,0.499,3.47E-32,blue,0.5,-0.739486,2.253151,1.63665
Arid1b,Arid1b,4.09E-33,0.175941124,0.763,0.623,1.10E-28,red,0.154412,-0.489966,0.178267,0.27706
Arid4a,Arid4a.1,8.73E-38,-0.298511911,0.389,0.4,2.34E-33,blue,0.213529,-1.877448,2.133939,1.537212
Arid5b,Arid5b.1,2.19E-78,0.680424127,0.673,0.434,5.88E-74,red,0.093235,-0.618396,0.322751,0.348023
Arih1,Arih1.1,2.12E-38,0.112967164,0.647,0.514,5.70E-34,red,0.071176,0.667986,0.907105,0.66127
Arpc1b,Arpc1b,9.84E-32,0.134978474,0.355,0.257,2.64E-27,red,0.405588,0.355297,2.62674,1.946948
Arrb2,Arrb2.1,2.71E-22,-0.258752765,0.253,0.27,7.26E-18,blue,0.513824,-0.964287,3.540042,2.744065
Arsb,Arsb.1,6.26E-31,-0.277544831,0.44,0.43,1.68E-26,blue,1.082059,-0.345137,0.996335,0.716869
Asap1,Asap1,7.50E-25,0.23145932,0.906,0.811,2.01E-20,red,0.132353,0.912999,1.364551,0.968277
Ascc3,Ascc3.1,6.70E-55,0.544668309,0.657,0.455,1.80E-50,red,0.049412,0.247,0.625697,0.498143
Asph,Asph,1.24E-75,0.581880954,0.797,0.587,3.33E-71,red,0.558824,-0.161976,0.076501,0.237026
Asxl1,Asxl1,8.88E-28,-0.250824745,0.393,0.391,2.38E-23,blue,0.062059,0.176952,0.032366,0.22061
Atf6,Atf6.1,7.59E-39,0.276696858,0.482,0.333,2.04E-34,red,0.189706,-0.108876,0.175373,0.275636
Atf7,Atf7,1.05E-37,0.119250846,0.512,0.388,2.81E-33,red,0.041176,0.573044,1.377341,0.977533
Atf7ip,Atf7ip,7.15E-44,-0.161385581,0.444,0.391,1.92E-39,blue,0.21,-1.670538,1.768251,1.259143
Atg7,Atg7.1,6.26E-76,0.57303236,0.385,0.182,1.68E-71,red,0.040882,0.413461,0.0958,0.24637
Atp11c,Atp11c,9.12E-26,0.152223525,0.342,0.251,2.45E-21,red,0.030294,1.588405,1.513417,1.073007
Atp1b3,Atp1b3,1.04E-44,0.238421037,0.284,0.167,2.78E-40,red,0.805,0.921377,9.587644,8.371772
Atp2b1,Atp2b1.1,1.85E-30,0.261382731,0.772,0.632,4.96E-26,red,0.456765,-1.229721,1.786482,1.268507
Atp2c1,Atp2c1.1,7.19E-35,-0.160965221,0.496,0.449,1.93E-30,blue,0.321765,-0.923585,0.621559,0.495171
Atp6v0a1,Atp6v0a1.2,4.33E-27,0.312628493,0.637,0.494,1.16E-22,red,0.194706,-0.538725,0.396358,0.376147
Atp6v0c,Atp6v0c.1,3.12E-42,0.208441647,0.33,0.209,8.38E-38,red,0.188824,1.5362,16.946474,15.382423
Atp6v0d1,Atp6v0d1.1,2.30E-34,0.254025351,0.324,0.208,6.17E-30,red,0.219118,0.412399,1.430865,1.014362
Atp6v1a,Atp6v1a,8.64E-57,0.544511005,0.319,0.152,2.32E-52,red,0.140882,1.110475,4.917557,3.971217
Atp6v1c1,Atp6v1c1,4.66E-54,0.327046315,0.445,0.279,1.25E-49,red,0.140588,1.115971,3.615115,2.812977
Atp7a,Atp7a,1.10E-30,0.231977164,0.418,0.295,2.95E-26,red,0.049118,0.343076,0.936338,0.676492
Atp8a1,Atp8a1,5.17E-42,0.407248457,0.838,0.705,1.39E-37,red,0.312353,-0.295793,0.027505,0.219677
Atp9b,Atp9b,7.13E-45,0.177053959,0.611,0.456,1.91E-40,red,0.109412,-1.006757,0.371019,0.363602
Atrx,Atrx.1,3.16E-27,-0.102163341,0.558,0.502,8.47E-23,blue,0.300294,-0.704373,1.558587,1.103857
Atxn10,Atxn10.1,2.18E-50,0.424791449,0.5,0.316,5.85E-46,red,0.166471,1.062343,4.742916,3.811684
Atxn7l1,Atxn7l1,1.38E-31,0.144016746,0.616,0.488,3.70E-27,red,0.055294,-2.078771,1.130463,0.811607
Avl9,Avl9.1,5.17E-32,0.104361513,0.324,0.236,1.39E-27,red,0.074118,-0.637523,0.148458,0.271666
AW554918,AW554918,7.82E-31,-0.243896228,0.344,0.331,2.10E-26,blue,0.033235,-0.778763,0.595661,0.48386
Axl,Axl.1,3.67E-219,1.144184075,0.519,0.155,9.85E-215,red,0.069706,4.290287,48.126161,45.728803
B2m,B2m.1,5.96E-58,0.290217125,0.449,0.28,1.60E-53,red,7.072353,1.374797,59.855107,57.156719
B4galt1,B4galt1,4.11E-25,-0.126475362,0.452,0.417,1.10E-20,blue,0.387647,-0.913787,1.659107,1.176225
Bach2,Bach2.1,1.99E-26,-0.16823405,0.588,0.541,5.34E-22,blue,0.119412,-1.341521,0.949713,0.681279
Baz1a,Baz1a,2.76E-27,0.113059259,0.368,0.274,7.42E-23,red,0.114118,-0.802166,1.176523,0.845025
Bbs9,Bbs9.2,3.57E-63,-0.6827098,0.423,0.527,9.59E-59,blue,0.089412,-1.328503,0.93959,0.677762
Bbx,Bbx.1,8.28E-25,0.190608807,0.34,0.241,2.22E-20,red,0.119706,-0.647098,0.140699,0.267493
BC005537,BC005537,1.68E-48,0.370489943,0.317,0.171,4.50E-44,red,0.361176,-0.288026,0.089868,0.243807
Bcl2,Bcl2.1,1.07E-74,0.321124383,0.359,0.167,2.86E-70,red,0.066471,0.429636,2.75436,2.060294
Bcl2l1,Bcl2l1.1,1.11E-51,0.581976292,0.559,0.364,2.98E-47,red,0.145588,-0.286433,0.36049,0.357803
Bcl9,Bcl9.1,7.44E-29,-0.155498718,0.269,0.243,2.00E-24,blue,0.078235,-2.31643,1.790069,1.271377
Bhlhe41,Bhlhe41,2.09E-43,0.4032009,0.27,0.138,5.61E-39,red,0.548235,-0.110383,0.947091,0.679261
Bin1,Bin1.1,4.56E-66,-0.451005218,0.689,0.727,1.22E-61,blue,1.485882,-1.170324,9.606739,8.387278
Bin2,Bin2.1,6.87E-53,-0.545301318,0.34,0.411,1.84E-48,blue,0.073235,-1.735722,0.828024,0.609463
Blnk,Blnk,1.59E-33,0.252675032,0.782,0.636,4.28E-29,red,0.417353,-0.350984,0.194207,0.284076
Bmp2k,Bmp2k.1,7.75E-46,-0.267552085,0.739,0.707,2.08E-41,blue,1.176471,-0.94647,4.784759,3.846982
Bmpr2,Bmpr2,1.88E-41,0.178198458,0.522,0.38,5.05E-37,red,0.095,-1.060485,0.994196,0.715351
Btbd9,Btbd9,1.59E-30,0.165943485,0.823,0.694,4.26E-26,red,0.065588,-1.383975,0.805507,0.595493
C1qa,C1qa.2,2.83E-24,0.125652929,0.814,0.706,7.60E-20,red,8.280882,-0.215596,3.481972,2.696072
C1qc,C1qc.1,3.14E-27,-0.113290252,0.706,0.652,8.42E-23,blue,5.916471,-0.467267,9.954291,8.712648
Cab39,Cab39.1,9.44E-31,0.144017975,0.36,0.258,2.53E-26,red,0.215588,-1.056351,0.877583,0.639341
Cables1,Cables1.1,1.62E-37,-0.541688308,0.272,0.354,4.34E-33,blue,0.382059,-0.341299,0.486393,0.427243
Cadm1,Cadm1,1.60E-43,0.420387134,0.826,0.668,4.30E-39,red,0.225882,2.492552,33.410246,31.300129
Calm2,Calm2.1,2.42E-29,-0.245264246,0.308,0.302,6.50E-25,blue,1.336176,-1.318877,10.600326,9.318995
Camk1,Camk1.1,4.91E-34,-0.18222247,0.395,0.368,1.32E-29,blue,0.434706,-0.512593,1.470788,1.04366
Camk1d,Camk1d,2.25E-17,-0.124821983,0.907,0.886,6.05E-13,blue,0.21,-0.39043,0.279038,0.326602
Cap1,Cap1,2.76E-26,0.183147492,0.355,0.256,7.41E-22,red,0.589118,-0.463559,0.858451,0.629148
Capn3,Capn3.1,2.73E-66,-0.731204667,0.294,0.433,7.31E-62,blue,0.182941,0.299384,0.041344,0.223412
Cask,Cask.1,7.94E-37,-0.319412994,0.498,0.497,2.13E-32,blue,0.117059,-0.909845,1.405432,0.995405
Casp8,Casp8,4.29E-31,-0.198832028,0.347,0.332,1.15E-26,blue,0.291471,-1.256593,1.332285,0.950654
Cbfb,Cbfb,3.73E-33,0.141726004,0.34,0.239,1.00E-28,red,0.184706,-0.338537,0.036254,0.221669
Ccdc88a,Ccdc88a.1,2.79E-54,0.476576672,0.467,0.279,7.48E-50,red,0.056471,1.850626,1.395739,0.99016
Ccdc93,Ccdc93.1,4.85E-30,-0.121120666,0.377,0.34,1.30E-25,blue,0.122647,-1.026451,0.828715,0.609434
Ccm2,Ccm2,2.26E-20,-0.235355427,0.245,0.252,6.08E-16,blue,0.109706,-1.052858,0.090774,0.243873
Ccni,Ccni,6.36E-21,-0.148208496,0.25,0.236,1.71E-16,blue,0.622941,-0.122447,0.328825,0.350803
Ccnl1,Ccnl1.1,3.66E-54,0.337120252,0.574,0.388,9.81E-50,red,0.113235,0.303943,0.713457,0.544146
Ccny,Ccny.1,2.91E-35,0.268519659,0.491,0.348,7.82E-31,red,0.082941,1.063098,1.79253,1.273478
Ccr5,Ccr5.1,7.79E-40,-0.577852739,0.214,0.293,2.09E-35,blue,1.477353,-2.340838,22.33377,20.517622
Cd180,Cd180,9.74E-34,0.343482745,0.667,0.509,2.61E-29,red,0.39,1.147347,8.198211,7.062116
Cd300lf,Cd300lf,1.09E-96,0.729976647,0.263,0.076,2.91E-92,red,0.186765,-0.559787,0.869851,0.636287
Cd33,Cd33.2,4.93E-33,-0.442056439,0.262,0.329,1.32E-28,blue,0.205588,-1.369259,2.855893,2.145395
Cd37,Cd37.1,3.66E-29,-0.138596153,0.479,0.437,9.81E-25,blue,0.652059,0.359621,2.684341,1.996676
Cd48,Cd48.1,1.40E-76,0.63140505,0.384,0.177,3.75E-72,red,0.226176,1.208018,9.237716,8.044478
Cd63,Cd63,4.85E-75,0.664238808,0.35,0.152,1.30E-70,red,0.390588,2.326131,41.012193,38.753137
Cd68,Cd68,5.03E-53,0.429633829,0.316,0.163,1.35E-48,red,1.267941,1.339356,28.332805,26.322392
Cd74,Cd74,7.37E-175,1.403097255,0.374,0.093,1.98E-170,red,0.185588,2.020314,15.442088,13.961184
Cd81,Cd81.2,8.24E-44,-0.378530825,0.426,0.445,2.21E-39,blue,3.917647,-0.1491,0.822901,0.606671
Cd83,Cd83.1,9.38E-66,0.712952942,0.412,0.21,2.52E-61,red,0.142647,2.817012,26.457415,24.528035
Cd84,Cd84.1,1.07E-134,0.799222912,0.823,0.566,2.86E-130,red,0.345294,0.399617,3.895051,3.05324
Cd9,Cd9.1,6.38E-90,0.645311956,0.713,0.455,1.71E-85,red,1.399118,2.06811,53.356627,50.83433
Cdk17,Cdk17.2,6.89E-43,0.230842808,0.483,0.333,1.85E-38,red,0.033824,-0.313088,0.088481,0.24303
Cdk6,Cdk6,1.05E-25,0.215845669,0.401,0.293,2.82E-21,red,0.026471,0.340109,0.019651,0.215994
Cebpz,Cebpz.1,7.40E-24,-0.20209591,0.253,0.253,1.98E-19,blue,0.284412,-0.621886,1.119003,0.802857
Celf1,Celf1,2.83E-26,0.116761346,0.637,0.526,7.59E-22,red,0.269412,-1.35619,2.26489,1.646135
Celf2,Celf2.1,7.56E-57,-0.429851696,0.847,0.857,2.03E-52,blue,0.695294,-1.105926,4.337224,3.447553
Cep170,Cep170.1,2.25E-28,-0.206672743,0.37,0.361,6.03E-24,blue,0.147059,-1.057007,2.04029,1.466976
Cept1,Cept1.1,1.40E-41,0.250812768,0.422,0.284,3.76E-37,red,0.156176,-0.819727,0.688022,0.531992
Cflar,Cflar.1,5.39E-31,-0.100847363,0.523,0.474,1.45E-26,blue,0.205588,-0.42243,0.284203,0.329227
Chd4,Chd4.1,8.63E-29,0.161734033,0.388,0.284,2.32E-24,red,0.383235,-0.182504,0.07526,0.23661
Chd6,Chd6,1.19E-41,-0.177004521,0.428,0.382,3.20E-37,blue,0.123529,-2.596881,2.562438,1.896467
Chd7,Chd7.1,3.52E-25,0.145759635,0.711,0.593,9.45E-21,red,0.182941,-0.324687,0.253821,0.31642
Chd9,Chd9.1,3.90E-116,-0.616062317,0.832,0.871,1.05E-111,blue,0.292059,-2.494331,4.376627,3.48357
Chmp4b,Chmp4b,1.14E-30,0.214923261,0.269,0.171,3.06E-26,red,0.172647,0.502024,0.441831,0.400858
Chst11,Chst11.1,2.42E-57,0.77568608,0.522,0.328,6.48E-53,red,0.073235,1.251339,5.961936,4.953744
Clasp2,Clasp2.1,7.53E-42,-0.221427355,0.671,0.635,2.02E-37,blue,0.143529,-0.850848,0.633107,0.502481
Clint1,Clint1.1,1.58E-37,0.279073854,0.667,0.506,4.23E-33,red,0.220294,0.549927,0.4843,0.426766
Clk1,Clk1,6.16E-42,-0.115330391,0.484,0.42,1.65E-37,blue,0.295882,-1.650599,3.451053,2.669777
Clk4,Clk4,7.39E-33,0.115186781,0.399,0.296,1.98E-28,red,0.057941,-1.146234,0.088019,0.242949
Cnot4,Cnot4,1.13E-42,0.184272688,0.669,0.512,3.04E-38,red,0.061176,0.945304,0.975216,0.701301
Cnot6l,Cnot6l,1.33E-41,0.122316619,0.423,0.303,3.57E-37,red,0.251765,-0.313315,0.201556,0.288586
Col27a1,Col27a1.1,1.22E-62,-0.754567062,0.202,0.331,3.27E-58,blue,0.171176,-0.995361,0.937047,0.676607
Copa,Copa,7.30E-39,0.178328262,0.376,0.26,1.96E-34,red,0.124412,0.611274,1.692147,1.202603
Coro1c,Coro1c,2.72E-82,0.553156597,0.35,0.151,7.31E-78,red,0.096765,1.166986,1.69399,1.203775
Coro7,Coro7,6.27E-31,0.176401994,0.289,0.194,1.68E-26,red,0.081765,-1.702016,0.06946,0.23536
Cotl1,Cotl1,2.07E-45,0.409535041,0.554,0.374,5.55E-41,red,0.465294,0.477058,2.695302,2.004448
Cpd,Cpd,5.89E-69,0.65450119,0.361,0.167,1.58E-64,red,0.050294,2.603934,9.408264,8.201238
Cpeb2,Cpeb2.1,2.27E-63,0.4322786,0.492,0.292,6.10E-59,red,0.106765,0.305416,1.321445,0.942684
Cpeb4,Cpeb4,2.98E-32,0.162248706,0.31,0.212,8.00E-28,red,0.083235,-0.712783,0.336604,0.353697
Creb3l2,Creb3l2.1,2.96E-45,0.441312575,0.407,0.242,7.93E-41,red,0.115294,0.871888,2.126328,1.531316
Crlf3,Crlf3,5.61E-37,-0.145933492,0.536,0.486,1.51E-32,blue,0.203824,-1.22971,1.509046,1.070431
Cryl1,Cryl1.1,4.57E-36,-0.372568209,0.27,0.295,1.23E-31,blue,0.193824,-1.008611,1.249876,0.89218
Csad,Csad.1,4.03E-32,-0.305566174,0.26,0.272,1.08E-27,blue,0.126176,-2.131512,1.987627,1.42596
Csf1,Csf1.1,8.38E-180,1.296763312,0.475,0.153,2.25E-175,red,0.017941,5.225405,27.866522,25.888294
Csf1r,Csf1r.2,1.16E-113,-0.618430579,0.77,0.829,3.12E-109,blue,12.371765,-0.468992,15.544638,14.046963
Csf2ra,Csf2ra.1,3.76E-65,0.598652565,0.475,0.263,1.01E-60,red,0.065294,1.864095,9.577174,8.363086
Csmd3,Csmd3.2,0,-1.482878453,0.775,0.911,0,blue,0.114118,-0.578126,0.684409,0.529623
Cst3,Cst3.2,6.69E-159,-0.98775648,0.777,0.857,1.80E-154,blue,46.351765,-0.22888,6.059475,5.045708
Ctnnb1,Ctnnb1,1.43E-74,0.565867128,0.325,0.139,3.83E-70,red,0.356471,0.318409,0.714722,0.544447
Ctsa,Ctsa,4.00E-30,0.210278869,0.399,0.283,1.07E-25,red,1.497647,1.195445,21.505042,19.729639
Ctsb,Ctsb.1,2.89E-103,0.745526311,0.748,0.489,7.75E-99,red,3.778235,2.04363,68.255592,65.256173
Ctsc,Ctsc.2,8.19E-46,0.44739153,0.531,0.349,2.20E-41,red,0.964118,0.223483,1.369774,0.972144
Ctsd,Ctsd.2,3.02E-97,0.642876451,0.912,0.736,8.11E-93,red,13.804706,1.452347,65.910003,63.007495
Ctsh,Ctsh,2.55E-32,0.355423453,0.56,0.406,6.83E-28,red,1.169412,0.398422,1.719805,1.221446
Ctsl,Ctsl.1,2.31E-31,0.2501592,0.431,0.305,6.19E-27,red,2.237941,1.456878,31.996289,29.913325
Ctsz,Ctsz.2,9.05E-73,0.524332859,0.629,0.395,2.43E-68,red,1.6,1.684372,45.806799,43.43577
Cttnbp2nl,Cttnbp2nl.1,3.11E-33,-0.290032612,0.584,0.592,8.35E-29,blue,1.219412,-1.008123,5.738986,4.74389
Cux1,Cux1,9.04E-41,0.324429816,0.846,0.7,2.43E-36,red,0.169412,0.295032,2.719414,2.026957
Cx3cr1,Cx3cr1.2,1.60E-79,-0.539655629,0.706,0.764,4.29E-75,blue,11.152353,-1.359911,55.105993,52.504515
Cyba,Cyba,1.44E-34,0.174929739,0.281,0.185,3.88E-30,red,0.9,0.603585,7.227382,6.117265
Cybb,Cybb,6.42E-161,1.105075774,0.263,0.043,1.72E-156,red,0.055294,2.691001,9.026283,7.844761
Cyfip1,Cyfip1.1,7.34E-28,-0.143706963,0.743,0.698,1.97E-23,blue,1.253235,-0.386598,1.687764,1.198891
