gene,X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,color,Average.UMI.per.cell..homeostatic.microglia.,Fold.change..DAM.to.homeostatic.microglia.,X.log10.DAM..p.value..Mann.Whitney.,DAM.FDR.p.value
Sall1,Sall1.2,5.47E-41,-0.570235838,0.271,0.376,1.47E-36,blue,0.815588,-1.189528,5.684519,4.691567
Samhd1,Samhd1.1,4.51E-26,0.332774489,0.326,0.213,1.21E-21,red,0.193824,-0.838686,1.83212,1.305458
Samsn1,Samsn1,1.88E-46,0.437679023,0.522,0.342,5.04E-42,red,0.389706,0.283553,0.715428,0.544669
Sat1,Sat1.1,6.26E-67,0.53165085,0.616,0.392,1.68E-62,red,0.326471,0.197418,1.178919,0.84672
Scaf11,Scaf11,1.35E-42,0.126961797,0.434,0.314,3.64E-38,red,0.328235,0.125693,0.469776,0.417547
Scamp2,Scamp2.1,1.73E-48,-0.43817681,0.335,0.373,4.64E-44,blue,1.478529,-0.98273,8.408341,7.260182
Scfd1,Scfd1,1.91E-35,0.123260944,0.262,0.176,5.13E-31,red,0.094118,-1.935377,1.80374,1.282888
Scoc,Scoc.2,3.92E-44,-0.346607655,0.304,0.323,1.05E-39,blue,0.566471,-0.857843,4.01454,3.16125
Sdcbp,Sdcbp.1,2.33E-42,0.318126709,0.404,0.255,6.24E-38,red,0.467647,0.600163,2.642325,1.959402
Sdccag8,Sdccag8.1,3.57E-33,-0.233851267,0.433,0.419,9.57E-29,blue,0.056765,-2.760495,1.7749,1.260493
Sdk1,Sdk1.2,7.52E-21,-0.405058238,0.281,0.308,2.02E-16,blue,0.020882,-0.273391,0.064966,0.235002
Sec24a,Sec24a,6.08E-32,0.167733858,0.272,0.179,1.63E-27,red,0.029412,1.058471,0.371686,0.364048
Sec24b,Sec24b,2.72E-32,0.125504399,0.354,0.258,7.30E-28,red,0.058235,0.247,0.158259,0.275117
Sec31a,Sec31a,1.36E-27,0.10460506,0.26,0.184,3.65E-23,red,0.188824,-0.209065,0.409071,0.383704
Sel1l,Sel1l,1.44E-25,0.10326217,0.271,0.197,3.86E-21,red,0.260294,0.113891,0.503644,0.435175
Selplg,Selplg.2,1.10E-161,-1.207858005,0.355,0.608,2.96E-157,blue,9.069412,-1.225303,39.41363,37.192363
Senp2,Senp2.2,2.10E-36,-0.218168481,0.452,0.43,5.64E-32,blue,0.136765,-0.128258,0.407126,0.38291
Senp5,Senp5,5.12E-28,0.198103134,0.286,0.192,1.37E-23,red,0.023235,0.435072,1.278195,0.91174
Senp7,Senp7,1.21E-29,-0.115676175,0.289,0.253,3.24E-25,blue,0.075882,0.115356,1.051011,0.755528
Serinc3,Serinc3.2,1.49E-104,-0.727296286,0.571,0.707,3.99E-100,blue,9.199706,-0.907111,30.245977,28.188567
Sesn1,Sesn1,5.60E-26,-0.183408608,0.296,0.278,1.50E-21,blue,0.382353,-1.587521,4.442182,3.544854
Setd2,Setd2,1.02E-38,-0.129303556,0.481,0.427,2.73E-34,blue,0.229118,-0.860628,1.222762,0.875348
Sfpq,Sfpq,8.03E-41,-0.155571701,0.472,0.426,2.16E-36,blue,0.336471,-0.599989,0.419963,0.38856
Sft2d1,Sft2d1.1,4.98E-44,-0.11896306,0.487,0.423,1.34E-39,blue,0.577353,-0.14978,0.098987,0.247554
Sgk1,Sgk1,2.13E-52,0.627970372,0.334,0.167,5.72E-48,red,0.929412,-0.312957,0.765205,0.572475
Sgpl1,Sgpl1.1,6.73E-40,0.322543092,0.408,0.262,1.81E-35,red,0.398235,0.21522,1.175401,0.844136
Sh3bp2,Sh3bp2.2,4.32E-69,0.628103581,0.421,0.213,1.16E-64,red,0.057941,-1.00873,0.103663,0.248897
Sh3kbp1,Sh3kbp1,6.69E-37,0.207005117,0.81,0.666,1.79E-32,red,0.237059,0.501507,2.157295,1.557118
Siglech,Siglech.2,3.35E-177,-1.240965371,0.371,0.668,8.99E-173,blue,4.717353,-0.917863,19.102279,17.42508
Sik3,Sik3.1,1.33E-34,0.117951197,0.483,0.366,3.56E-30,red,0.043235,-0.345342,0.169378,0.274873
Sipa1,Sipa1.1,8.77E-32,-0.409780342,0.211,0.264,2.35E-27,blue,0.426471,-1.119128,2.766476,2.069172
Sipa1l1,Sipa1l1.1,3.17E-38,-0.43948463,0.377,0.429,8.51E-34,blue,0.088529,0.227699,0.23971,0.311161
Sipa1l2,Sipa1l2.2,3.37E-38,0.135390905,0.728,0.589,9.04E-34,red,0.156176,0.38302,0.500719,0.433013
Skap2,Skap2,6.25E-55,0.341144044,0.872,0.702,1.68E-50,red,0.215588,-0.859159,0.080589,0.239307
Skil,Skil,2.54E-26,0.158534412,0.452,0.344,6.82E-22,red,0.288235,-0.703796,1.076967,0.771056
Slc11a1,Slc11a1,9.14E-36,0.338101021,0.395,0.254,2.45E-31,red,0.494412,0.486455,3.853579,3.015529
Slc12a6,Slc12a6.1,6.11E-42,-0.310658609,0.626,0.632,1.64E-37,blue,0.162059,-0.492587,0.669835,0.522439
Slc16a10,Slc16a10.1,8.42E-65,0.499343816,0.443,0.245,2.26E-60,red,0.030588,1.02634,0.695796,0.536327
Slc16a6,Slc16a6.1,3.49E-52,-0.547031555,0.283,0.357,9.38E-48,blue,0.256765,-0.251375,0.696181,0.536241
Slc23a2,Slc23a2.1,1.22E-33,0.323532721,0.444,0.304,3.27E-29,red,0.069118,1.791496,5.407386,4.43019
Slc24a3,Slc24a3.2,1.40E-64,-0.777493665,0.329,0.505,3.76E-60,blue,0.126471,-0.736322,0.355663,0.356028
Slc25a25,Slc25a25,9.57E-38,0.44564945,0.271,0.143,2.57E-33,red,0.027941,0.75396,1.918078,1.370446
Slc29a3,Slc29a3.1,2.71E-26,-0.121910754,0.305,0.278,7.26E-22,blue,0.844118,-0.80625,2.633849,1.953016
Slc30a9,Slc30a9,9.00E-37,0.139105148,0.35,0.248,2.42E-32,red,0.133529,-0.775418,0.21963,0.299664
Slc36a1,Slc36a1.1,7.65E-22,-0.196141993,0.266,0.266,2.05E-17,blue,0.168824,-0.203662,0.933764,0.674906
Slc44a1,Slc44a1,1.86E-36,0.312330692,0.262,0.146,4.98E-32,red,0.055882,1.745922,4.221453,3.345069
Slc4a7,Slc4a7,1.58E-31,-0.110636968,0.34,0.297,4.24E-27,blue,0.215882,-1.49785,2.788496,2.089565
Slc7a8,Slc7a8.1,3.32E-33,-0.345267278,0.48,0.505,8.92E-29,blue,0.325882,-0.54707,0.800412,0.592334
Slc9a9,Slc9a9.1,6.62E-33,-0.340812185,0.843,0.868,1.78E-28,blue,0.366471,-1.395844,4.770916,3.835019
Slco2b1,Slco2b1.2,2.36E-83,-0.675510612,0.612,0.728,6.34E-79,blue,2.61,-1.270084,17.936384,16.321678
Slfn8,Slfn8,4.93E-14,0.244118347,0.265,0.189,1.32E-09,red,0.202353,-1.979593,3.078569,2.341009
Smad3,Smad3.1,6.39E-26,-0.2332763,0.371,0.368,1.71E-21,blue,0.195588,-1.045403,1.704524,1.208897
Smarca2,Smarca2.1,1.23E-40,-0.340174097,0.422,0.443,3.30E-36,blue,0.137353,-1.001894,0.821034,0.605519
Smarca4,Smarca4,8.30E-25,0.107124331,0.256,0.186,2.23E-20,red,0.110294,-0.179626,0.270076,0.322099
Smurf2,Smurf2,1.19E-40,-0.161622704,0.459,0.417,3.20E-36,blue,0.14,-0.996766,1.78414,1.267238
Snap23,Snap23,6.90E-28,0.126483887,0.294,0.209,1.85E-23,red,0.152353,-0.429959,0.062415,0.233845
Sncaip,Sncaip.1,2.21E-18,-0.316418975,0.264,0.297,5.93E-14,blue,0.037941,0.106137,0.378013,0.36693
Snd1,Snd1.2,2.86E-40,0.323582033,0.636,0.467,7.69E-36,red,0.108235,0.314025,1.417768,1.005499
Snx10,Snx10.1,6.53E-46,0.311912296,0.415,0.262,1.75E-41,red,0.076176,1.233006,1.026406,0.738796
Snx27,Snx27,1.35E-28,0.139596079,0.254,0.173,3.62E-24,red,0.087941,-0.304577,0.16696,0.275176
Snx29,Snx29.1,2.37E-21,-0.202921968,0.858,0.859,6.36E-17,blue,0.023235,-3.149891,0.172028,0.275215
Snx30,Snx30,7.98E-40,0.216709068,0.495,0.353,2.14E-35,red,0.092353,-0.668243,0.766939,0.573361
Snx6,Snx6,4.45E-32,-0.225264918,0.314,0.301,1.19E-27,blue,0.299412,-1.775855,3.700803,2.886076
Soat1,Soat1.2,5.34E-87,0.691618196,0.452,0.216,1.43E-82,red,0.116471,1.224973,4.470088,3.56584
Son,Son.1,6.06E-32,-0.128429817,0.876,0.817,1.63E-27,blue,0.852353,-1.0634,2.64966,1.964636
Sort1,Sort1.2,1.85E-30,-0.352942293,0.257,0.285,4.98E-26,blue,0.507647,-1.072632,3.133897,2.392158
Spag9,Spag9.1,2.09E-35,0.243578149,0.611,0.461,5.61E-31,red,0.145,-0.894313,0.172903,0.275661
Sparc,Sparc.2,6.35E-81,-0.824748785,0.27,0.412,1.70E-76,blue,11.989706,-0.83641,28.630962,26.609267
Specc1,Specc1.1,4.30E-31,-0.147562212,0.728,0.676,1.15E-26,blue,0.19,-0.514744,1.049964,0.754911
Spire1,Spire1.2,5.61E-45,-0.127182375,0.536,0.472,1.51E-40,blue,0.151471,-0.148561,0.17744,0.276838
Spp1,Spp1,4.50E-302,2.013828261,0.349,0.036,1.21E-297,red,0.035588,4.312911,29.102839,27.069563
Sppl3,Sppl3,1.87E-39,-0.137460622,0.558,0.498,5.01E-35,blue,0.252353,-0.38149,0.553193,0.46226
Srek1,Srek1,2.78E-37,0.167703492,0.493,0.364,7.45E-33,red,0.042353,-0.293569,0.110279,0.252311
Srgap2,Srgap2.2,4.75E-163,-0.610203744,0.952,0.951,1.27E-158,blue,1.050294,-1.736531,12.918412,11.534418
Srpk2,Srpk2.1,6.14E-50,0.24241503,0.521,0.359,1.65E-45,red,0.038824,0.853657,0.423867,0.390356
Srsf5,Srsf5,1.66E-38,-0.110146169,0.499,0.438,4.44E-34,blue,0.252941,-0.706777,1.431417,1.014347
Srsf7,Srsf7,8.80E-34,-0.137457776,0.455,0.409,2.36E-29,blue,0.183529,-0.945645,1.230875,0.878595
Ssbp2,Ssbp2.1,7.47E-28,-0.393673359,0.386,0.436,2.01E-23,blue,0.049412,-0.702374,0.56198,0.467142
Ssh2,Ssh2.1,8.12E-84,-0.517295826,0.853,0.9,2.18E-79,blue,1.002353,-1.334791,6.625164,5.567754
St13,St13,1.84E-33,0.143951348,0.27,0.18,4.93E-29,red,0.355882,-0.259082,0.300807,0.336819
St3gal5,St3gal5.1,5.96E-57,-0.752567326,0.214,0.353,1.60E-52,blue,0.297647,-0.62747,1.546661,1.094094
St3gal6,St3gal6.1,5.16E-103,-0.910437447,0.37,0.554,1.39E-98,blue,0.750294,-1.05862,6.242713,5.211777
St8sia6,St8sia6.1,1.85E-109,0.795643552,0.46,0.198,4.95E-105,red,0.039706,2.455586,9.481259,8.272478
Stab1,Stab1.2,4.25E-41,-0.784586886,0.21,0.281,1.14E-36,blue,0.343824,-2.526207,8.736682,7.571366
Stambpl1,Stambpl1.1,4.98E-26,-0.230275085,0.265,0.262,1.34E-21,blue,0.117647,-3.111454,2.206512,1.59891
Stat2,Stat2,4.70E-45,0.682293887,0.306,0.158,1.26E-40,red,0.030588,0.15389,0.497152,0.431348
Stat3,Stat3.1,2.79E-25,0.135983009,0.389,0.294,7.50E-21,red,0.186471,-0.31147,0.075222,0.236648
Stim1,Stim1.1,2.41E-15,-0.105678953,0.266,0.24,6.46E-11,blue,0.094118,-2.204564,1.597498,1.130516
Stim2,Stim2,3.67E-31,0.285325665,0.265,0.156,9.85E-27,red,0.041176,2.268733,2.092222,1.507777
Stk10,Stk10.1,2.56E-17,-0.13108476,0.324,0.304,6.86E-13,blue,0.227647,-1.113176,0.710937,0.545621
Stk38,Stk38.1,1.08E-25,0.112249863,0.37,0.279,2.90E-21,red,0.137059,-0.882477,0.204914,0.290429
Stk4,Stk4.1,9.21E-28,-0.1611467,0.324,0.301,2.47E-23,blue,0.262353,-1.062047,1.2693,0.906871
Strada,Strada.1,1.31E-27,-0.209817069,0.262,0.253,3.52E-23,blue,0.032353,0.240427,0.521772,0.446375
Strn,Strn,3.63E-31,0.134568036,0.262,0.177,9.75E-27,red,0.043529,0.980061,1.032741,0.742805
Stx7,Stx7,1.87E-62,0.294477495,0.514,0.331,5.01E-58,red,0.283529,0.61604,2.012788,1.444332
Syngr1,Syngr1.1,5.27E-34,0.185750255,0.477,0.35,1.42E-29,red,0.471176,1.683157,22.448378,20.625051
Tab2,Tab2,2.25E-39,-0.256980309,0.392,0.382,6.04E-35,blue,0.492941,-1.174941,4.54285,3.628009
Tacc1,Tacc1.1,1.20E-35,-0.241186583,0.63,0.604,3.21E-31,blue,0.517941,-0.5622,1.572766,1.113364
Taf1d,Taf1d,9.10E-36,0.18431388,0.351,0.239,2.44E-31,red,0.093529,-2.837065,1.794381,1.27461
Tanc2,Tanc2.2,9.43E-204,-0.683135963,0.963,0.945,2.53E-199,blue,0.775294,-0.956633,4.307414,3.421104
Tank,Tank.2,3.45E-58,0.61392373,0.444,0.248,9.27E-54,red,0.032941,0.548169,1.040961,0.748687
Tbc1d16,Tbc1d16.1,1.26E-28,-0.333975246,0.374,0.411,3.38E-24,blue,0.136176,-1.254722,0.921165,0.668964
Tbc1d22a,Tbc1d22a,6.40E-42,0.275946267,0.7,0.53,1.72E-37,red,0.119118,-0.710875,0.512118,0.440584
Tbc1d8,Tbc1d8,4.92E-44,0.35641032,0.418,0.262,1.32E-39,red,0.044706,0.743906,1.003045,0.722337
Tbc1d9,Tbc1d9.1,4.93E-30,-0.210142433,0.427,0.404,1.32E-25,blue,0.201765,-1.138892,1.25522,0.89678
Tbl1x,Tbl1x,8.20E-32,-0.112140456,0.445,0.393,2.20E-27,blue,0.24,-1.39752,2.596559,1.922964
Tcf4,Tcf4,3.85E-21,0.152422914,0.835,0.731,1.03E-16,red,0.528235,-1.439451,5.370653,4.396541
Tcf7l2,Tcf7l2.1,8.00E-30,-0.384162221,0.3,0.338,2.15E-25,blue,0.090294,-2.144731,1.180711,0.847811
Tcirg1,Tcirg1,6.64E-28,0.134693203,0.423,0.323,1.78E-23,red,0.190588,0.18211,0.921118,0.669111
Tec,Tec.1,1.91E-66,0.529640064,0.636,0.411,5.13E-62,red,0.113824,0.333804,0.912089,0.66395
Tgfbr1,Tgfbr1.1,1.12E-16,0.226394735,0.954,0.901,3.00E-12,red,2.848824,-0.674167,8.196404,7.061793
Tgfbr2,Tgfbr2,7.20E-33,0.277767184,0.806,0.665,1.93E-28,red,1.018824,0.644069,3.527451,2.734184
Tgs1,Tgs1,2.18E-25,0.21775578,0.34,0.237,5.86E-21,red,0.196176,-1.14019,0.645013,0.50877
Thada,Thada,1.47E-45,-0.203858518,0.421,0.381,3.94E-41,blue,0.048235,-1.52559,0.920468,0.669044
Thrap3,Thrap3,5.71E-28,0.10032646,0.409,0.318,1.53E-23,red,0.152059,-0.374703,0.126038,0.259839
Tia1,Tia1,1.04E-30,-0.252457752,0.251,0.251,2.80E-26,blue,0.094412,-1.939879,1.31356,0.936874
Timp2,Timp2.1,7.15E-47,0.385084339,0.355,0.204,1.92E-42,red,1.250294,1.104524,15.735754,14.224181
Tjp1,Tjp1.1,5.39E-44,-0.368574673,0.354,0.367,1.45E-39,blue,0.299412,-1.802008,4.538857,3.624908
Tlk1,Tlk1.1,3.60E-35,0.274487193,0.453,0.314,9.67E-31,red,0.137353,0.222071,0.184938,0.280864
Tln2,Tln2.1,9.81E-29,-0.488197283,0.209,0.29,2.63E-24,blue,0.140882,0.194867,1.088038,0.778594
Tlr7,Tlr7,7.46E-47,0.259898918,0.61,0.439,2.00E-42,red,0.528529,-0.270329,1.421728,1.007771
Tm6sf1,Tm6sf1.1,1.02E-38,-0.544692658,0.236,0.316,2.75E-34,blue,0.402059,-1.829948,7.446771,6.326736
Tmem135,Tmem135.2,8.68E-44,-0.206121736,0.629,0.584,2.33E-39,blue,0.307059,-1.179136,2.648548,1.96405
Tmem164,Tmem164,2.29E-30,0.149608348,0.613,0.488,6.15E-26,red,0.038529,-0.247265,0.269871,0.321992
Tmem184b,Tmem184b,2.75E-36,0.233642009,0.329,0.214,7.38E-32,red,0.15,0.548415,1.745122,1.241595
Tmem87b,Tmem87b,1.93E-27,0.193822131,0.325,0.224,5.17E-23,red,0.104706,-1.321843,1.124903,0.807178
Tmod3,Tmod3,1.34E-39,0.203824988,0.295,0.187,3.59E-35,red,0.122941,-0.535547,0.480971,0.424552
Tnks2,Tnks2,6.84E-40,0.120048338,0.449,0.334,1.83E-35,red,0.220588,-0.187403,0.574466,0.471849
Tnrc18,Tnrc18,1.90E-45,-0.174321051,0.432,0.382,5.11E-41,blue,0.037647,-0.882636,0.253234,0.316492
Tnrc6b,Tnrc6b,4.21E-35,-0.265046164,0.646,0.628,1.13E-30,blue,0.326176,-1.890764,3.772105,2.944413
Tns1,Tns1,3.96E-52,0.368448426,0.441,0.27,1.06E-47,red,0.085294,-0.168038,0.020219,0.216285
Tns3,Tns3,3.90E-71,0.494258292,0.868,0.691,1.05E-66,red,0.205882,0.460236,1.337305,0.95252
Top1,Top1,9.32E-22,-0.107604334,0.404,0.368,2.50E-17,blue,0.325588,-0.905438,0.545623,0.458028
Tor1aip1,Tor1aip1,4.90E-30,0.199199865,0.461,0.341,1.32E-25,red,0.458235,-0.316137,0.526112,0.4489
Tpd52,Tpd52.1,7.49E-49,0.430932503,0.525,0.339,2.01E-44,red,0.124118,1.686402,9.801211,8.567089
Tpm3,Tpm3,4.58E-39,-0.15860736,0.469,0.426,1.23E-34,blue,0.786765,-0.977822,4.210687,3.335936
Tpst2,Tpst2.1,7.81E-38,-0.491656716,0.188,0.254,2.10E-33,blue,0.447059,-1.650431,6.809955,5.736107
Traf3,Traf3.1,2.36E-52,0.382146677,0.517,0.332,6.33E-48,red,0.05,-1.085576,0.730102,0.553178
Trafd1,Trafd1.1,1.29E-28,0.239637823,0.328,0.222,3.46E-24,red,0.152941,-0.496919,0.445435,0.402426
Trem2,Trem2.1,7.27E-30,0.107406844,0.532,0.423,1.95E-25,red,2.481471,1.22707,29.377757,27.332581
Trim2,Trim2.1,1.61E-38,-0.35995834,0.238,0.252,4.32E-34,blue,0.050294,-0.58589,0.728114,0.552007
Trim30a,Trim30a.2,1.92E-57,0.62623942,0.612,0.406,5.15E-53,red,0.285588,-0.343173,0.089389,0.243557
Trim30d,Trim30d.1,9.46E-36,0.408401032,0.391,0.246,2.54E-31,red,0.162941,-1.773985,1.81994,1.29583
Trio,Trio.1,1.36E-32,-0.144908137,0.525,0.481,3.64E-28,blue,0.178529,-1.056039,1.091751,0.780975
Trip12,Trip12,1.77E-34,0.157037844,0.634,0.499,4.75E-30,red,0.204706,-0.396662,0.708166,0.544439
Trpm7,Trpm7,7.94E-26,0.106283274,0.528,0.426,2.13E-21,red,0.115294,-0.705932,0.253037,0.316577
Trps1,Trps1.2,6.43E-132,0.836522567,0.49,0.2,1.73E-127,red,0.016471,-1.274953,0.574574,0.47182
Tsc22d2,Tsc22d2,3.46E-29,0.206950617,0.419,0.303,9.27E-25,red,0.104706,-0.736881,0.371399,0.363872
Tsc22d4,Tsc22d4.1,1.39E-35,-0.302958894,0.383,0.39,3.72E-31,blue,0.564706,-0.8199,3.16995,2.423991
Tspan14,Tspan14.1,4.54E-36,-0.148505671,0.446,0.405,1.22E-31,blue,0.460882,-1.359763,4.109605,3.244524
Ttc39b,Ttc39b,7.56E-34,-0.126381055,0.263,0.226,2.03E-29,blue,0.080294,-1.306599,0.329161,0.350829
Ttc7,Ttc7,3.19E-26,-0.280463581,0.237,0.255,8.57E-22,blue,0.150882,-1.904066,3.290608,2.527349
Tubgcp5,Tubgcp5.2,2.24E-36,-0.3617319,0.404,0.432,6.02E-32,blue,0.275588,-1.318844,1.740672,1.238184
Tulp4,Tulp4,2.60E-24,-0.128875299,0.336,0.303,6.97E-20,blue,0.065,0.213985,0.306187,0.339791
Tyrobp,Tyrobp.1,1.33E-38,0.202669361,0.318,0.207,3.57E-34,red,3.335,1.60888,51.473836,49.048449
Ubac2,Ubac2,3.39E-26,-0.107007901,0.392,0.348,9.09E-22,blue,0.086765,0.174285,0.097577,0.246839
Ubash3b,Ubash3b.1,8.63E-35,-0.273423834,0.783,0.771,2.32E-30,blue,0.429118,-0.508877,1.211184,0.868822
Ube2f,Ube2f,5.10E-31,0.184125342,0.254,0.164,1.37E-26,red,0.098235,-0.981887,0.325828,0.349457
Ube2h,Ube2h,1.99E-35,-0.124317217,0.507,0.45,5.35E-31,blue,0.247353,-0.856094,1.076191,0.7705
Ube2k,Ube2k,2.30E-33,0.102640538,0.483,0.372,6.18E-29,red,0.213529,-0.584401,0.094131,0.245393
Ubr3,Ubr3,1.02E-31,-0.163157052,0.443,0.41,2.74E-27,blue,0.105588,-0.188272,0.276321,0.325733
Ulk2,Ulk2.1,2.38E-57,-0.451827637,0.581,0.624,6.40E-53,blue,0.357353,-0.626876,0.047569,0.226696
Unc93b1,Unc93b1.2,8.84E-33,-0.174827344,0.743,0.703,2.37E-28,blue,1.252941,-0.502722,2.952784,2.228677
Unk,Unk,7.17E-35,0.166984031,0.268,0.173,1.92E-30,red,0.073824,-0.782029,0.083432,0.240336
Usp12,Usp12.1,3.81E-60,0.511214055,0.627,0.413,1.02E-55,red,0.062647,1.267177,3.977535,3.12964
Usp24,Usp24.1,6.94E-57,-0.458528815,0.406,0.438,1.86E-52,blue,0.328529,-2.447961,4.332844,3.444016
Usp25,Usp25.1,1.49E-32,0.272325244,0.437,0.304,4.00E-28,red,0.160294,-0.292366,0.225211,0.302433
Usp37,Usp37,6.15E-25,0.133256938,0.266,0.187,1.65E-20,red,0.031471,-1.265649,0.167646,0.275098
Usp9x,Usp9x,7.17E-36,0.140364097,0.539,0.411,1.92E-31,red,0.083235,-1.335416,0.759578,0.569214
Vapa,Vapa,5.13E-31,-0.100701159,0.269,0.231,1.38E-26,blue,0.466765,-0.920541,2.200232,1.593511
Vav2,Vav2.1,2.16E-26,-0.275038121,0.317,0.335,5.80E-22,blue,0.164706,-1.168038,1.755426,1.249466
Vdac2,Vdac2,4.41E-29,0.230055749,0.26,0.163,1.18E-24,red,0.454118,0.787364,3.385123,2.612305
Vgll4,Vgll4.1,7.72E-31,-0.173451981,0.397,0.368,2.07E-26,blue,0.100588,-0.29127,0.449546,0.405094
Vmp1,Vmp1,2.12E-28,0.120552605,0.296,0.206,5.69E-24,red,0.107647,-0.175943,0.013583,0.21344
Vps13b,Vps13b,3.94E-29,0.141867905,0.672,0.544,1.06E-24,red,0.032059,-0.154863,0.159384,0.274994
Vps13c,Vps13c.1,1.48E-115,0.767584239,0.698,0.412,3.96E-111,red,0.03,1.090274,2.238905,1.625093
Vps41,Vps41,4.44E-41,0.102792107,0.44,0.325,1.19E-36,red,0.071765,-0.869957,0.345555,0.351854
Vps54,Vps54.2,1.02E-34,0.262084052,0.585,0.434,2.74E-30,red,0.072941,-0.264253,0.037357,0.22192
Wasf2,Wasf2.1,2.12E-63,-0.41017938,0.653,0.667,5.69E-59,blue,1.105294,-0.769992,3.765887,2.939655
Wdfy1,Wdfy1,2.36E-33,0.158353514,0.304,0.207,6.34E-29,red,0.178529,0.327876,0.648449,0.509818
Wdr37,Wdr37,2.09E-28,-0.115869565,0.31,0.274,5.61E-24,blue,0.079118,-0.296986,0.500133,0.433062
Wdr7,Wdr7.1,3.03E-41,0.18171407,0.391,0.268,8.13E-37,red,0.045294,-0.285077,0.039769,0.223122
Wipf1,Wipf1,1.39E-34,0.157974787,0.716,0.581,3.73E-30,red,0.246471,-0.918842,0.743722,0.559051
Wls,Wls,4.06E-46,0.250622999,0.476,0.325,1.09E-41,red,0.255588,0.218497,0.163636,0.275984
Wnk1,Wnk1.1,2.03E-37,-0.237785777,0.829,0.807,5.44E-33,blue,0.684412,-1.179866,5.39231,4.416144
Wwox,Wwox,1.46E-15,0.117525779,0.696,0.601,3.91E-11,red,0.018824,0.117364,0.010895,0.212601
Wwp1,Wwp1.1,2.40E-26,-0.136559826,0.342,0.292,6.44E-22,blue,0.035294,0.795436,0.155105,0.274777
Xpr1,Xpr1.1,1.45E-40,0.195337988,0.43,0.298,3.90E-36,red,0.105588,-0.280838,0.004659,0.210445
Xrn1,Xrn1.1,9.83E-32,0.113596262,0.499,0.388,2.64E-27,red,0.081765,-0.332783,0.302286,0.337597
Zc3h12c,Zc3h12c,3.28E-75,0.685427626,0.326,0.135,8.81E-71,red,0.019118,-0.283515,0.009624,0.211876
Zdhhc14,Zdhhc14.1,9.92E-41,-0.533608572,0.338,0.413,2.66E-36,blue,0.035,-0.571003,0.082972,0.240331
Zeb1,Zeb1.1,2.96E-28,-0.294420979,0.617,0.631,7.94E-24,blue,0.047059,-1.905003,1.698603,1.206366
Zeb2,Zeb2.1,1.48E-17,0.239843847,0.952,0.91,3.96E-13,red,0.468235,-1.097303,4.523535,3.613138
Zfand5,Zfand5,8.77E-39,0.267279112,0.266,0.153,2.35E-34,red,0.191471,-0.694373,0.896231,0.652878
Zfc3h1,Zfc3h1,1.49E-42,0.114448365,0.458,0.338,4.00E-38,red,0.052647,-0.348073,0.021167,0.216956
Zfhx3,Zfhx3.2,7.88E-171,-0.751231338,0.882,0.912,2.12E-166,blue,1.213235,-1.976092,17.675709,16.069866
Zfp148,Zfp148.1,1.82E-34,0.151116196,0.588,0.454,4.88E-30,red,0.255882,-0.748034,0.188396,0.281084
Zfp407,Zfp407.1,6.74E-28,0.169153981,0.497,0.38,1.81E-23,red,0.035882,-3.513813,0.933729,0.675265
Zfp652,Zfp652.1,1.64E-29,-0.1900603,0.615,0.589,4.41E-25,blue,0.358529,-1.74004,4.535619,3.62256
Zfp710,Zfp710.1,5.05E-65,-0.477997332,0.692,0.738,1.35E-60,blue,0.345882,-1.790281,4.922795,3.974529
Zfp91,Zfp91,1.14E-29,0.122082576,0.291,0.204,3.05E-25,red,0.228235,-0.264125,0.177986,0.277126
Zfr,Zfr,4.19E-38,0.11456344,0.616,0.485,1.12E-33,red,0.139412,0.482378,0.369876,0.362901
Zmiz1,Zmiz1,2.46E-27,0.236114552,0.714,0.578,6.59E-23,red,0.162647,-0.716931,1.890091,1.352321
Zmynd11,Zmynd11.1,4.39E-34,-0.238989532,0.374,0.367,1.18E-29,blue,0.193235,-1.027942,1.227912,0.876609
Znfx1,Znfx1,9.24E-23,0.359125532,0.277,0.175,2.48E-18,red,0.179412,-0.575213,0.43323,0.396182
Zranb2,Zranb2,1.46E-36,-0.126859093,0.384,0.335,3.93E-32,blue,0.136176,-0.268019,0.12478,0.25914
Zswim6,Zswim6,4.04E-22,-0.117831371,0.787,0.74,1.08E-17,blue,0.162647,-1.202358,2.108441,1.521483