X,baseMean.x,log2FoldChange.x,lfcSE.x,stat.x,pvalue.x,padj.x,color.x,baseMean.y,log2FoldChange.y,lfcSE.y,stat.y,pvalue.y,padj.y,color.y
Ifi27,1233.373898,0.371199481,0.101799724,3.627815832,0.000285829,0.158142929,red,1233.373898,0.471621849,0.101825269,4.665673088,3.08E-06,0.002135443,red
Ifi27l2a,97.52724176,0.418864514,0.087033986,4.748432429,2.05E-06,0.005034101,red,97.52724176,0.415633711,0.086891799,5.624195389,1.86E-08,6.21E-05,red
Ifi44,14.60457441,0.208627161,0.087117107,2.140440731,0.032319166,NA,red,14.60457441,0.261061296,0.085920426,3.548762968,0.000387045,0.035431659,red
Ifit1,96.82755644,0.369759767,0.100379654,3.624254332,0.000289796,0.158142929,red,96.82755644,0.462394727,0.100227123,4.805730957,1.54E-06,0.001368119,red
Ifit3,287.3229023,0.395051157,0.103960993,3.738565037,0.000185074,0.118559768,red,287.3229023,0.478427297,0.103936027,4.731145093,2.23E-06,0.001690765,red
Ifit3b,140.9462896,0.41423137,0.10389672,3.936965254,8.25E-05,0.071519312,red,140.9462896,0.445407093,0.103965606,4.348737071,1.37E-05,0.006978095,red
Ifitm3,308.6684028,0.435646385,0.101090137,4.292454692,1.77E-05,0.032545309,red,308.6684028,0.377925993,0.101192703,3.752855174,0.000174832,0.024857822,red
Iigp1,55.19650357,0.240808247,0.104166215,2.309717591,0.020903794,0.707547848,red,55.19650357,0.353682668,0.10412317,3.400307518,0.000673101,0.047792428,red
Il33,1547.606669,-0.142315071,0.055923285,-2.544871383,0.0109318,0.665272554,blue,1547.606669,0.180426028,0.056186366,3.211390123,0.001320945,0.064921122,red
Ing2,321.33069,0.157547465,0.079228386,1.983403861,0.047322336,0.744195683,red,321.33069,-0.168592638,0.079867873,-2.111959366,0.034689935,0.259509629,blue
Irf7,95.74577511,0.581267755,0.100321612,5.78060075,7.44E-09,8.66E-05,red,95.74577511,0.568884769,0.100176227,5.957335775,2.56E-09,2.14E-05,red
Irf9,203.80798,0.371248309,0.088753322,4.16253523,3.15E-05,0.038644036,red,203.80798,0.369167344,0.089489691,4.138125929,3.50E-05,0.010607125,red
Irgm1,166.2163591,0.256459969,0.091729753,2.798037786,0.00514141,0.574892261,red,166.2163591,0.459573033,0.092126616,4.97707907,6.46E-07,0.000672177,red
Irgm2,99.76627521,0.265760996,0.100822323,2.639060404,0.008313617,0.639224869,red,99.76627521,0.378972347,0.101060963,3.743859385,0.000181215,0.024857822,red
Isg15,48.58347094,0.454306609,0.103250223,4.232853294,2.31E-05,0.037775526,red,48.58347094,0.320067084,0.102956932,3.266557236,0.001088638,0.059273848,red
Jakmip2,440.2335916,0.192310421,0.072752682,2.640108688,0.008287944,0.639224869,red,440.2335916,-0.261987096,0.073293231,-3.575580938,0.000349451,0.034164997,blue
Kcnk5,24.89405783,-0.289258143,0.095030309,-2.901479196,0.003714054,0.545456169,blue,24.89405783,0.194006226,0.094230795,2.224822262,0.026093172,0.225775367,red
Kif13a,747.2030945,-0.144630466,0.063925719,-2.262021173,0.023696095,0.707547848,blue,747.2030945,0.167776986,0.064183314,2.612771771,0.008981126,0.145558883,red
Kifc2,14476.56544,-0.188176554,0.070166491,-2.684137894,0.007271711,0.619314368,blue,14476.56544,0.141011715,0.07016708,2.007822455,0.044662162,0.286246606,red
Lbh,802.456236,-0.120913957,0.047537971,-2.540955349,0.011055004,0.665272554,blue,802.456236,0.191285295,0.047653057,4.010710948,6.05E-05,0.014873676,red
Lct,506.7991451,0.193614766,0.095111994,2.025471627,0.042818959,0.73082813,red,506.7991451,-0.269094526,0.095294736,-2.835636672,0.004573444,0.111727498,blue
Lgals3bp,595.5396803,0.550864628,0.103434191,5.313401479,1.08E-07,0.000396336,red,595.5396803,0.599863676,0.10345608,5.847606627,4.99E-09,2.77E-05,red
Lix1,1110.066551,-0.115372553,0.05816048,-1.982973915,0.047370343,0.744195683,blue,1110.066551,0.163769379,0.05829913,2.807528476,0.004992327,0.114437196,red
Lrrc58,2068.397426,-0.204186935,0.082555326,-2.473030484,0.013397271,0.685400686,blue,2068.397426,0.22403238,0.082626975,2.711894925,0.00668998,0.129757567,red
Map3k4,676.4925499,0.112324946,0.05524789,2.028714555,0.042487373,0.73082813,red,676.4925499,-0.147893616,0.056137738,-2.634611463,0.008423364,0.141363329,blue
Map4k2,975.3545935,-0.175236358,0.060112081,-2.915300312,0.003553464,0.545456169,blue,975.3545935,0.140856615,0.060456921,2.330049366,0.019803542,0.202421359,red
Mctp1,884.2975786,0.143317313,0.07245266,1.977826976,0.047948229,0.744195683,red,884.2975786,-0.201004812,0.072660893,-2.766302612,0.00566959,0.120794159,blue
Mgp,445.1678255,-0.205497818,0.100350982,-2.025669553,0.042798659,0.73082813,blue,445.1678255,0.318756116,0.100319857,3.250301759,0.001152826,0.059835626,red
Mill2,59.85616691,-0.282007099,0.101703371,-2.795035386,0.005189403,0.574892261,blue,59.85616691,0.203576143,0.101561207,1.961306603,0.049843267,0.300608582,red
Mir466i,2.599108861,-0.113589131,0.060085151,-2.168717696,0.030104123,NA,blue,2.599108861,0.160400973,0.059422154,2.361899159,0.018181587,NA,red
Mrc2,193.0823447,-0.218194426,0.097849454,-2.250435331,0.024421324,0.707996724,blue,193.0823447,0.307854003,0.097793018,3.167371114,0.001538239,0.070799905,red
Mrgprf,14.7921011,-0.190664133,0.08495062,-2.278366004,0.02270478,NA,blue,14.7921011,0.195718948,0.084386139,2.331113874,0.019747356,0.202179857,red
mt-Tn,524.8497997,-0.22418843,0.095765527,-2.349068668,0.018820436,0.707547848,blue,524.8497997,0.210843544,0.095809555,2.191632379,0.028406062,0.236282276,red
Nfic,2103.89398,-0.23043405,0.081884109,-2.81814188,0.004830246,0.559474261,blue,2103.89398,0.183078143,0.081902818,2.231532485,0.025645878,0.22467503,red
Nlrc5,27.41384832,0.221097858,0.09885775,2.288956605,0.022081874,0.707547848,red,27.41384832,0.217781614,0.098634124,2.173493198,0.029743217,0.239823194,red
Nt5e,75.56408292,-0.214243167,0.102458808,-2.099772576,0.035748852,0.73082813,blue,75.56408292,0.264104562,0.102560214,2.550896611,0.010744619,0.157205122,red
Nupr1,103.4334208,-0.20728227,0.103688824,-2.005767303,0.044881081,0.738857925,blue,103.4334208,0.289319402,0.103752778,2.779253674,0.005448396,0.119355531,red
Oas1a,16.42248881,0.311897772,0.102187328,2.990223882,0.00278773,NA,red,16.42248881,0.347817039,0.101525997,3.448968712,0.000562732,0.044434484,red
Oasl2,124.8580367,0.356837646,0.101925752,3.463888187,0.000532428,0.237720932,red,124.8580367,0.407107343,0.101830096,4.102251831,4.09E-05,0.011959342,red
Ogfod3,89.00934039,0.189439738,0.094712351,1.979085322,0.047806401,0.744195683,red,89.00934039,0.200323829,0.095747774,2.105065981,0.035285565,0.2619249,red
Papola,1379.547025,0.101020108,0.045363906,2.225645921,0.026037908,0.71436293,red,1379.547025,-0.145149488,0.045809514,-3.16852243,0.001532159,0.070799905,blue
Parp9,86.17417637,0.258926758,0.094013511,2.756353262,0.005844983,0.577118774,red,86.17417637,0.32001586,0.09456994,3.372113136,0.000745938,0.049609512,red
Pcif1,1250.119352,-0.099806415,0.048066034,-2.076549309,0.037843176,0.73082813,blue,1250.119352,0.097435411,0.048443445,2.011410815,0.044282082,0.285427755,NA
Pde6c,3.472607066,-0.124399718,0.063224875,-2.066120335,0.038817119,NA,blue,3.472607066,0.193830993,0.062308878,3.02723134,0.00246805,NA,red
Peli2,688.3525408,-0.145854275,0.06389599,-2.282795175,0.022442436,0.707547848,blue,688.3525408,0.169112246,0.064314657,2.629495607,0.008551164,0.141887203,red
Pgbd5,2807.460665,0.151680497,0.074911927,2.021627643,0.043214834,0.732712733,red,2807.460665,-0.169400483,0.075031046,-2.260408007,0.02379594,0.218193765,blue
Phf11b,11.7903623,0.281996773,0.094105175,3.061394422,0.002203087,NA,red,11.7903623,0.288398905,0.093496579,3.027942879,0.002462246,0.087330437,red
Piezo2,18.27481593,-0.241306258,0.100312917,-2.405741578,0.016139677,NA,blue,18.27481593,0.269362539,0.099735574,2.695046977,0.007037871,0.132785278,red
Pip5k1a,947.5407814,0.143731863,0.072694285,1.975168623,0.048249015,0.744195683,red,947.5407814,-0.149503997,0.07296562,-2.049655881,0.040398023,0.275150624,blue
Pkn3,18.81222548,-0.237235525,0.102657573,-2.324396513,0.020104252,NA,blue,18.81222548,0.242823414,0.102321454,2.334281056,0.01958101,0.201801681,red
Pla2g2f,64.69476015,0.264754972,0.104196361,2.52948751,0.011422924,0.666409861,red,64.69476015,-0.208255334,0.104226257,-2.005761183,0.044881734,0.286622935,blue
Plekhm2,3279.990767,-0.148759569,0.072602525,-2.049048407,0.040457382,0.73082813,blue,3279.990767,0.165962604,0.072661671,2.283902887,0.022377239,0.211954053,red
Plpp3,7332.237958,-0.139503943,0.070374628,-1.984115732,0.04724294,0.744195683,blue,7332.237958,0.143104694,0.070370709,2.031282027,0.042226393,0.280195964,red
Podn,55.03239796,-0.229068266,0.103591557,-2.204181726,0.027511566,0.717843203,blue,55.03239796,0.253664219,0.103455071,2.465864371,0.013668308,0.176432031,red
Prg4,82.73010234,-0.172962452,0.075757165,-2.425792488,0.015275002,0.707547848,blue,82.73010234,0.168500706,0.075690785,2.220671878,0.026373194,0.226964761,red
Prickle1,839.8141621,0.238223712,0.077561857,3.070851472,0.002134493,0.469741487,red,839.8141621,-0.191005452,0.077732171,-2.457292023,0.013998884,0.176961615,blue
Prodh,898.2158392,-0.1612019,0.064899692,-2.484141457,0.012986421,0.678305353,blue,898.2158392,0.203876474,0.065407277,3.119633433,0.001810762,0.075611805,red
Prokr2,32.57476997,0.223084939,0.10406679,2.139269767,0.032413827,0.73082813,red,32.57476997,-0.222330867,0.104181974,-2.132231404,0.032987828,0.254449168,blue
Prss12,190.107403,0.191617106,0.091318098,2.10088382,0.035651166,0.73082813,red,190.107403,-0.220002568,0.091609551,-2.399158454,0.016432802,0.187396929,blue
Prss45,6.517469431,-0.216783543,0.08822765,-2.465300649,0.013689833,NA,blue,6.517469431,0.228805142,0.08690248,2.58727142,0.009673936,NA,red
Psat1,3207.332365,-0.097061818,0.048800479,-1.989251189,0.046673484,0.744195683,blue,3207.332365,0.115429749,0.049018405,2.355416075,0.018501976,0.196720753,red
Ptges,89.52031577,-0.244120116,0.090548105,-2.694605206,0.007047208,0.603683463,blue,89.52031577,0.216951106,0.090721151,2.373008133,0.017643875,0.191383208,red
Rapgef3,653.790026,-0.154693999,0.070681861,-2.188973743,0.028598748,0.717843203,blue,653.790026,0.231845448,0.071390335,3.25364523,0.001139345,0.059835626,red
Rcan2,2369.136353,-0.130136331,0.064596806,-2.014191034,0.043989481,0.734437495,blue,2369.136353,0.325882698,0.064827097,5.030571296,4.89E-07,0.000647411,red
Rfx4,328.2921801,-0.171669535,0.075026708,-2.285793589,0.022266337,0.707547848,blue,328.2921801,0.205395327,0.074935167,2.73155554,0.006303612,0.125993058,red
Rfxap,378.4136394,0.165233364,0.071956682,2.286946027,0.022198974,0.707547848,red,378.4136394,-0.176110515,0.072982096,-2.4151412,0.015729111,0.184681265,blue
Riox2,105.6329009,0.212852524,0.088709233,2.403008887,0.016260792,0.707547848,red,105.6329009,-0.262874116,0.089270191,-2.941247726,0.00326893,0.100371063,blue
Rnf113a2,139.1049787,0.168316143,0.082557727,2.037238277,0.04162617,0.73082813,red,139.1049787,-0.163939679,0.083397576,-1.965289284,0.049380765,0.299861334,blue
Rnf19b,581.5357373,0.153014031,0.072581987,2.105549934,0.035243465,0.73082813,red,581.5357373,-0.180240225,0.073013121,-2.469398312,0.013534048,0.176027144,blue
Rnf219,132.3161978,0.272265541,0.082756741,3.283648309,0.001024727,0.330489348,red,132.3161978,-0.166093889,0.083643293,-1.985435254,0.047096067,0.292429143,blue
Rpe65,15.2736863,-0.272153712,0.097071814,-2.620627772,0.008776803,NA,blue,15.2736863,0.18493438,0.095337154,2.180116849,0.029248801,0.238186628,red
Rph3a,6224.430937,-0.132698801,0.065351617,-2.031489437,0.04220537,0.73082813,blue,6224.430937,0.170138545,0.06535362,2.60152378,0.009281063,0.14700143,red
Rpl7a-ps5,430.6018765,-0.270174538,0.079923053,-3.382375316,0.000718619,0.290796869,blue,430.6018765,0.305967192,0.080120821,3.812945129,0.000137321,0.021065977,red
Rpl9-ps7,183.732767,-0.253855975,0.089200371,-2.847343209,0.00440858,0.553569634,blue,183.732767,0.187835538,0.089528852,2.093267917,0.036325245,0.26492467,red
Rps12-ps9,37.41849915,0.2090835,0.101772365,2.082783034,0.037271005,0.73082813,red,37.41849915,0.220947344,0.101981742,2.139469175,0.03239769,0.252232668,red
Rtp4,64.48955192,0.461095154,0.103950843,4.348521745,1.37E-05,0.0288488,red,64.48955192,0.58065549,0.104082024,5.676210402,1.38E-08,5.74E-05,red
Ruvbl1,410.5497242,0.194047016,0.079600795,2.43049851,0.015078068,0.707547848,red,410.5497242,-0.249120712,0.080183376,-3.110554258,0.001867366,0.07688966,blue
Rxra,896.0652482,-0.158607799,0.070971775,-2.234833305,0.025428294,0.71436293,blue,896.0652482,0.203442379,0.071203152,2.856864122,0.00427849,0.10944454,red
S100a5,9.360354363,-0.16962013,0.048261791,-3.268181822,0.001082408,NA,blue,9.360354363,0.059784976,0.048003859,1.970257076,0.048808915,NA,NA
Scara3,844.3853539,-0.17215892,0.075370046,-2.284804244,0.022324309,0.707547848,blue,844.3853539,0.291155494,0.075499276,3.852674487,0.000116835,0.019513121,red
Scd1,5952.646136,-0.231094184,0.08036686,-2.882319511,0.003947592,0.545456169,blue,5952.646136,0.18895051,0.080360195,2.345457552,0.019003742,0.199509358,red
Scd2,36424.01486,-0.164659993,0.064785675,-2.542856168,0.010995048,0.665272554,blue,36424.01486,0.131869547,0.064786992,2.034385331,0.04191276,0.279989017,red
Sdf2l1,183.9958859,0.245863798,0.088823358,2.756233701,0.00584712,0.577118774,red,183.9958859,-0.176055579,0.089499779,-1.969846137,0.048856007,0.298492825,blue
Serpinb6c,4.782962311,-0.175993975,0.067851168,-2.663217251,0.007739743,NA,blue,4.782962311,0.145284283,0.066932942,2.179603267,0.029286882,NA,red
Sfta3-ps,3.375400888,-0.109616002,0.058307334,-1.992975001,0.046264185,NA,blue,3.375400888,0.134086153,0.05754529,2.297674739,0.021580308,NA,red
Slc12a9,470.6632302,-0.166895475,0.073028216,-2.285291164,0.022295761,0.707547848,blue,470.6632302,0.175355034,0.073322465,2.389523484,0.016870245,0.188641045,red
Slc13a3,362.0346713,-0.22144266,0.10422845,-2.16359864,0.030495166,0.73082813,blue,362.0346713,0.309426298,0.104227462,2.922536381,0.003471931,0.102928533,red
Slc13a5,185.8895651,-0.182660543,0.084250801,-2.167585403,0.030190245,0.73082813,blue,185.8895651,0.267789333,0.084655856,3.154859431,0.001605755,0.072225411,red
Slc20a1,1362.299389,-0.120678797,0.046190856,-2.611379428,0.009017778,0.646576848,blue,1362.299389,0.109674542,0.046296898,2.367609056,0.017903443,0.193073753,red
Slc26a2,215.8831123,-0.358126777,0.102198935,-3.497764586,0.000469175,0.230427517,blue,215.8831123,0.242929653,0.102308518,2.382263753,0.017206569,0.18928926,red
Slc26a7,66.80780883,-0.184172371,0.078439294,-2.315276025,0.020597831,0.707547848,blue,66.80780883,0.199156094,0.078311423,2.73815685,0.00617846,0.125373659,red
Slc47a1,108.1380244,-0.220721733,0.076047509,-2.948083762,0.003197504,0.515865693,blue,108.1380244,0.198348216,0.075978104,2.804950541,0.00503243,0.114675527,red
Slc6a11,4040.835071,-0.179789324,0.079881874,-2.253822223,0.024207354,0.707547848,blue,4040.835071,0.265756875,0.079890367,3.32134339,0.000895852,0.05467325,red
Slco4a1,51.94067607,-0.269453234,0.094266285,-2.802674567,0.005068078,0.574408168,blue,51.94067607,0.235987795,0.093973765,2.621020955,0.008766687,0.143903229,red
Slfn10-ps,1.692674407,-0.114320657,0.054369669,-2.072257992,0.038241388,NA,blue,1.692674407,0.162510918,0.052994679,3.260746694,0.001111193,NA,red
Spp1,154.6087274,-0.163317844,0.083819302,-1.986179148,0.047013435,0.744195683,blue,154.6087274,0.18562908,0.083767547,2.239399219,0.025129952,0.223335471,red
Sspn,451.8462362,-0.146414459,0.072775337,-2.011113325,0.044313488,0.734437495,blue,451.8462362,0.249320342,0.073002534,3.410760202,0.00064782,0.047547733,red
Sstr1,175.9881168,0.202691124,0.097930574,2.064431788,0.038976795,0.73082813,red,175.9881168,-0.234814029,0.098193876,-2.394343081,0.016650166,0.187897426,blue
St6galnac6,4055.412934,-0.130648105,0.0618994,-2.111116507,0.034762299,0.73082813,blue,4055.412934,0.1385447,0.061909409,2.236595781,0.025312771,0.223614038,red
Stat1,168.4732298,0.363366862,0.088430717,4.090727538,4.30E-05,0.048738042,red,168.4732298,0.289836725,0.089219514,3.256074079,0.001129643,0.059835626,red
Stat2,298.2360732,0.165815318,0.067638103,2.445331763,0.014471895,0.707547848,red,298.2360732,0.143769752,0.0687697,2.093629525,0.036292995,0.26492467,red
Stk32c,1094.214396,0.162029725,0.077866013,2.075359006,0.037953274,0.73082813,red,1094.214396,-0.189119965,0.0781546,-2.423721193,0.015362395,0.18357491,blue
Sun2,627.0888689,-0.156776255,0.065454142,-2.395858197,0.016581504,0.707547848,blue,627.0888689,0.129524052,0.066078409,1.961867134,0.049777955,0.300608582,red
Tanc2,1396.684683,-0.137561081,0.067921858,-2.025481279,0.042817969,0.73082813,blue,1396.684683,-0.15159633,0.067985103,-2.229016384,0.025812815,0.224908233,blue
Tap1,90.12736988,0.223699064,0.100461215,2.245232429,0.024753215,0.707996724,red,90.12736988,0.284956226,0.10057967,2.810063749,0.004953169,0.114437196,red
Tbata,120.2883521,-0.200802924,0.088418719,-2.271565292,0.023112779,0.707547848,blue,120.2883521,-0.175196616,0.089208734,-1.963470849,0.049591488,0.300452287,blue
Tcim,20.80709991,-0.245092944,0.101160329,-2.38508095,0.017075364,NA,blue,20.80709991,0.329701691,0.100378899,3.370168638,0.000751222,0.049609512,red
Tgtp1,35.39022266,0.20878568,0.08037463,2.625353368,0.008655908,0.639224869,red,35.39022266,0.283432322,0.080161084,3.781730731,0.000155742,0.022761524,red
Tmc3,6.686948109,-0.234272395,0.087382482,-2.654780758,0.007935997,NA,blue,6.686948109,-0.174366318,0.085941151,-2.038712581,0.041478721,NA,blue
Tmed9,1430.096107,0.165247705,0.077967773,2.117004478,0.034259468,0.73082813,red,1430.096107,-0.17543341,0.07812104,-2.24727609,0.024622388,0.22077664,blue
Tmem132a,1126.243301,0.177745195,0.072868976,2.436431602,0.014832974,0.707547848,red,1126.243301,-0.241397104,0.073121348,-3.303253444,0.0009557,0.056496005,blue
Tmem59,3036.470195,0.123385134,0.061136989,2.016959507,0.043699739,0.734437495,red,3036.470195,0.142700215,0.061288255,2.32932365,0.019841926,0.202689353,red
Tns2,406.540977,-0.283507126,0.086852524,-3.269033121,0.001079157,0.330489348,blue,406.540977,0.207176655,0.086948146,2.37631101,0.017486717,0.191172039,red
Trabd2b,65.60757557,-0.361645074,0.103679665,-3.481480478,0.00049865,0.234278126,blue,65.60757557,0.24518114,0.103816018,2.368381571,0.017866099,0.193073753,red
Trim30a,60.92217487,0.418144423,0.102824934,4.069330921,4.71E-05,0.049620261,red,60.92217487,0.516041897,0.103012904,4.981435033,6.31E-07,0.000672177,red
Tspan8,8.892247269,-0.146797804,0.07141056,-2.122438471,0.033800934,NA,blue,8.892247269,0.168543322,0.070850039,2.4030748,0.016257862,NA,red
Ttyh1,10980.71935,-0.195444204,0.062126305,-3.146639999,0.001651582,0.434542952,blue,10980.71935,0.196887819,0.062140302,3.167556765,0.001537257,0.070799905,red
Uchl3,382.3167241,0.206658086,0.087442615,2.358772058,0.018335514,0.707547848,red,382.3167241,-0.228571619,0.087754304,-2.606849514,0.009137951,0.14653263,blue
Uhrf2,589.5747917,0.143310341,0.071966119,1.988078362,0.046803024,0.744195683,red,589.5747917,-0.18299049,0.072445357,-2.526948481,0.011505838,0.161362598,blue
Usp18,42.05730457,0.353022343,0.091238538,3.883473829,0.000102975,0.084290447,red,42.05730457,0.324690876,0.090979737,3.728536818,0.000192595,0.025069499,red
Usp33,737.9510441,0.16543835,0.072936141,2.265914059,0.023456646,0.707547848,red,737.9510441,-0.262276072,0.073271157,-3.580817454,0.000342521,0.034037537,blue
Utp4,369.7201154,0.161931139,0.075019369,2.150713573,0.031498814,0.73082813,red,369.7201154,-0.200582521,0.075860496,-2.6465528,0.008131681,0.139241456,blue
Vps45,538.0134762,0.163627361,0.082153681,1.990489964,0.046536988,0.744195683,red,538.0134762,-0.208117035,0.082402305,-2.525984959,0.011537442,0.161533885,blue
Vsx1,7.315804943,-0.167791686,0.068762896,-2.530719651,0.011382879,NA,blue,7.315804943,0.134745517,0.068148803,1.993089192,0.046251681,NA,red
Wbp1l,752.1119396,-0.13859505,0.058294589,-2.378335441,0.017390997,0.707547848,blue,752.1119396,0.139326981,0.058908521,2.366313783,0.01796621,0.193493874,red
Wfdc1,115.7662251,-0.206187727,0.092712881,-2.22441014,0.026120862,0.71436293,blue,115.7662251,0.214699329,0.093305294,2.298323608,0.021543378,0.208440312,red
Wipf1,364.9884278,-0.177311439,0.07698726,-2.302411743,0.021311963,0.707547848,blue,364.9884278,0.164071552,0.07704661,2.123659077,0.033698662,0.256958079,red
Xaf1,109.6126983,0.298086825,0.097684401,3.075348692,0.002102566,0.469741487,red,109.6126983,0.419123835,0.09777877,4.250459517,2.13E-05,0.008070803,red
Xbp1,830.7590024,0.206419704,0.080592914,2.555078639,0.010616381,0.665272554,red,830.7590024,-0.171761081,0.080881454,-2.126686951,0.033446102,0.256311448,blue
Zbp1,8.890406941,0.271596579,0.08292863,3.406990795,0.000656833,NA,red,8.890406941,0.270612376,0.082252724,3.259676884,0.001115392,NA,red
Zcchc24,2804.251214,-0.161590203,0.075708717,-2.134716334,0.032784188,0.73082813,blue,2804.251214,0.150499973,0.075763726,1.985992342,0.047034174,0.292429143,red
Zfp109,69.35960976,0.193144347,0.094169954,2.02668001,0.042695148,0.73082813,red,69.35960976,-0.231474969,0.095555588,-2.429035684,0.015139042,0.182644158,blue
Zfp786,68.32519576,0.221631618,0.095705921,2.300279912,0.021432367,0.707547848,red,68.32519576,-0.393644335,0.09669855,-4.07149641,4.67E-05,0.013034129,blue