,clusters,sample,cell.no,genotype.total,ratio,groups,Avg,sem
49,0,KO_XXO_Ctrl_1,698,1301,0.536510377,KO_F_Ctrl,0.64020849,0.069264617
50,1,KO_XXO_Ctrl_1,499,1301,0.383551115,KO_F_Ctrl,0.271935667,0.074102942
51,2,KO_XXO_Ctrl_1,100,1301,0.076863951,KO_F_Ctrl,0.086560208,0.005732875
52,3,KO_XXO_Ctrl_1,4,1301,0.003074558,KO_F_Ctrl,0.001295635,0.000919855
53,0,KO_XXO_Ctrl_2,754,1231,0.612510154,KO_F_Ctrl,0.64020849,0.069264617
54,1,KO_XXO_Ctrl_2,370,1231,0.300568643,KO_F_Ctrl,0.271935667,0.074102942
55,2,KO_XXO_Ctrl_2,106,1231,0.086108855,KO_F_Ctrl,0.086560208,0.005732875
56,3,KO_XXO_Ctrl_2,1,1231,0.000812348,KO_F_Ctrl,0.001295635,0.000919855
57,0,KO_XXO_Ctrl_3,375,486,0.771604938,KO_F_Ctrl,0.64020849,0.069264617
58,1,KO_XXO_Ctrl_3,64,486,0.131687243,KO_F_Ctrl,0.271935667,0.074102942
59,2,KO_XXO_Ctrl_3,47,486,0.096707819,KO_F_Ctrl,0.086560208,0.005732875
60,3,KO_XXO_Ctrl_3,0,486,0,KO_F_Ctrl,0.001295635,0.000919855
61,0,KO_XXO_CPZ_1,354,819,0.432234432,KO_F_CPZ,0.46786754,0.039228823
62,1,KO_XXO_CPZ_1,354,819,0.432234432,KO_F_CPZ,0.336948705,0.072184805
63,2,KO_XXO_CPZ_1,13,819,0.015873016,KO_F_CPZ,0.024374687,0.004318062
64,3,KO_XXO_CPZ_1,98,819,0.11965812,KO_F_CPZ,0.170809068,0.032490781
65,0,KO_XXO_CPZ_2,260,476,0.546218487,KO_F_CPZ,0.46786754,0.039228823
66,1,KO_XXO_CPZ_2,93,476,0.195378151,KO_F_CPZ,0.336948705,0.072184805
67,2,KO_XXO_CPZ_2,13,476,0.027310924,KO_F_CPZ,0.024374687,0.004318062
68,3,KO_XXO_CPZ_2,110,476,0.231092437,KO_F_CPZ,0.170809068,0.032490781
69,0,KO_XXO_CPZ_3,71,167,0.425149701,KO_F_CPZ,0.46786754,0.039228823
70,1,KO_XXO_CPZ_3,64,167,0.383233533,KO_F_CPZ,0.336948705,0.072184805
71,2,KO_XXO_CPZ_3,5,167,0.02994012,KO_F_CPZ,0.024374687,0.004318062
72,3,KO_XXO_CPZ_3,27,167,0.161676647,KO_F_CPZ,0.170809068,0.032490781
73,0,KO_XYT_Ctrl_1,1105,1493,0.740120563,KO_M_Ctrl,0.680822024,0.029767934
74,1,KO_XYT_Ctrl_1,288,1493,0.192900201,KO_M_Ctrl,0.24722445,0.027483159
75,2,KO_XYT_Ctrl_1,100,1493,0.066979236,KO_M_Ctrl,0.071953526,0.007281688
76,3,KO_XYT_Ctrl_1,0,1493,0,KO_M_Ctrl,0,0
77,0,KO_XYT_Ctrl_2,943,1438,0.655771905,KO_M_Ctrl,0.680822024,0.029767934
78,1,KO_XYT_Ctrl_2,405,1438,0.281641168,KO_M_Ctrl,0.24722445,0.027483159
79,2,KO_XYT_Ctrl_2,90,1438,0.062586926,KO_M_Ctrl,0.071953526,0.007281688
80,3,KO_XYT_Ctrl_2,0,1438,0,KO_M_Ctrl,0,0
81,0,KO_XYT_Ctrl_3,1019,1576,0.646573604,KO_M_Ctrl,0.680822024,0.029767934
82,1,KO_XYT_Ctrl_3,421,1576,0.26713198,KO_M_Ctrl,0.24722445,0.027483159
83,2,KO_XYT_Ctrl_3,136,1576,0.086294416,KO_M_Ctrl,0.071953526,0.007281688
84,3,KO_XYT_Ctrl_3,0,1576,0,KO_M_Ctrl,0,0
85,0,KO_XYT_CPZ_1,612,1591,0.384663734,KO_M_CPZ,0.427449417,0.043474799
86,1,KO_XYT_CPZ_1,728,1591,0.457573853,KO_M_CPZ,0.377583209,0.049217143
87,2,KO_XYT_CPZ_1,59,1591,0.037083595,KO_M_CPZ,0.03079986,0.003209217
88,3,KO_XYT_CPZ_1,192,1591,0.120678818,KO_M_CPZ,0.164167513,0.023858269
89,0,KO_XYT_CPZ_2,289,754,0.383289125,KO_M_CPZ,0.427449417,0.043474799
90,1,KO_XYT_CPZ_2,292,754,0.387267905,KO_M_CPZ,0.377583209,0.049217143
91,2,KO_XYT_CPZ_2,20,754,0.026525199,KO_M_CPZ,0.03079986,0.003209217
92,3,KO_XYT_CPZ_2,153,754,0.202917772,KO_M_CPZ,0.164167513,0.023858269
93,0,KO_XYT_CPZ_3,268,521,0.514395393,KO_M_CPZ,0.427449417,0.043474799
94,1,KO_XYT_CPZ_3,150,521,0.287907869,KO_M_CPZ,0.377583209,0.049217143
95,2,KO_XYT_CPZ_3,15,521,0.028790787,KO_M_CPZ,0.03079986,0.003209217
96,3,KO_XYT_CPZ_3,88,521,0.16890595,KO_M_CPZ,0.164167513,0.023858269