"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","color"
"1","2010204K13Rik",8.03323857610616e-07,-0.136151805814319,0.244,0.376,0.0156736517858407,"blue"
"2","2410006H16Rik",1.90742205468334e-06,-0.179533530735876,0.438,0.572,0.0372157117089266,"blue"
"3","AC149090.1",1.25509662998428e-26,0.589686262434957,0.524,0.276,2.44881903476233e-22,"red"
"4","Adarb1",5.22216777784604e-07,0.334256300042828,0.442,0.341,0.0101889715513554,"red"
"5","Adcy1",6.270900295868e-07,0.227718809818407,0.356,0.241,0.012235153567268,"red"
"6","Agt",8.7183000055912e-08,-0.24062189895813,0.571,0.708,0.0017010275140909,"blue"
"7","Aldh1a1",3.93680000769379e-07,0.307646772151704,0.288,0.183,0.00768109049501136,"red"
"8","Ank2",8.02066587991601e-07,0.255469140362035,0.705,0.628,0.0156491211983041,"red"
"9","Arf3",9.07657258515287e-10,0.244175868020582,0.92,0.835,1.77093007708918e-05,"red"
"10","Atox1",1.80808078190228e-11,-0.283550062136022,0.543,0.72,3.52774641356953e-07,"blue"
"11","Atp1a1",5.55655992650797e-12,0.29672498116077,0.651,0.48,1.08414040726097e-07,"red"
"12","Atp1b1",2.7556872956611e-14,0.24749905444623,1,0.999,5.37662148256438e-10,"red"
"13","Atp2a2",3.89579795734168e-15,0.315253740970644,0.967,0.893,7.60109139456935e-11,"red"
"14","Atp2b2",6.15505069433435e-13,0.344650232897211,0.696,0.549,1.20091194097157e-08,"red"
"15","Atp5e",2.24037039020279e-24,-0.312653259763458,0.995,0.999,4.37118666832466e-20,"blue"
"16","Atp5g1",2.90105581179512e-12,-0.253436158476058,0.909,0.955,5.66024999439346e-08,"blue"
"17","Atp5g2",1.48747049750771e-18,-0.36235019416617,0.658,0.816,2.90220368768729e-14,"blue"
"18","Atp5h",1.23237428104369e-11,-0.230180152236483,0.969,0.992,2.40448545974434e-07,"blue"
"19","Atp5j",3.56826301056162e-18,-0.266723214612648,0.988,1,6.96203795990678e-14,"blue"
"20","Atp5j2",3.26135536374062e-21,-0.290432096397103,0.995,0.999,6.36323045019432e-17,"blue"
"21","Atp5k",2.24432773616733e-25,-0.342512757888803,0.988,0.999,4.37890784603607e-21,"blue"
"22","Atp5l",2.64542755113824e-23,-0.297509757371627,0.99,0.989,5.16149369502583e-19,"blue"
"23","Atp5md",8.44994403746729e-27,-0.304676530027284,0.997,1,1.64866858115024e-22,"blue"
"24","Atp5mpl",3.64801064299535e-24,-0.342068314715593,0.965,0.993,7.11763356554823e-20,"blue"
"25","Atp6v1f",2.00121292012129e-06,-0.191918398301189,0.801,0.852,0.0390456652844866,"blue"
"26","Atpif1",9.5144228161512e-15,-0.264829158892398,0.96,0.989,1.85635903565926e-10,"blue"
"27","Avp",1.92692719695223e-81,-2.31608989585355,0.01,0.496,3.75962765397349e-77,"blue"
"28","Bex3",2.60937736161348e-10,-0.258458114187211,0.7,0.849,5.09115617024405e-06,"blue"
"29","Bola2",2.99921294641427e-21,-0.389137179995095,0.447,0.703,5.85176437974889e-17,"blue"
"30","Camk2a",6.63884367400908e-20,0.408717617548744,0.649,0.428,1.29530478923591e-15,"red"
"31","Camk2n1",1.07135829191301e-25,0.41453566163846,0.972,0.883,2.09032716335147e-21,"red"
"32","Cck",2.18697409697235e-27,0.503768929650334,0.869,0.669,4.26700516060276e-23,"red"
"33","Cfl1",1.42553321024971e-08,-0.157556365030945,0.993,0.996,0.000278135784651821,"blue"
"34","Chchd10",2.70558831691274e-12,-0.235626071986354,0.983,0.996,5.27887336512845e-08,"blue"
"35","Chchd2",4.09966003464571e-25,-0.324507273140666,0.997,0.999,7.99884669359725e-21,"blue"
"36","Chn1",6.83799911005927e-21,0.417219066430191,0.841,0.669,1.33416200636366e-16,"red"
"37","Churc1",2.0719024870338e-08,-0.179755125858175,0.232,0.384,0.000404248894245166,"blue"
"38","Cited1",8.30091067450625e-09,-0.140691054841145,0.051,0.149,0.000161959068170291,"blue"
"39","Clstn1",5.43835206000435e-19,0.358905786033727,0.976,0.908,1.06107687042745e-14,"red"
"40","Cox17",8.79358006235473e-14,-0.270860541354799,0.794,0.88,1.71571540596603e-09,"blue"
"41","Cox4i1",2.5092211423819e-26,-0.271364562782117,1,1,4.89574137090132e-22,"blue"
"42","Cox5a",1.97361921922176e-11,-0.225728353614482,0.932,0.98,3.85072845862358e-07,"blue"
"43","Cox5b",5.45039245695011e-42,-0.438732460165631,0.993,0.999,1.06342607227554e-37,"blue"
"44","Cox6b1",3.12888466079508e-17,-0.288301083356373,0.979,0.992,6.10476686167728e-13,"blue"
"45","Cox6c",1.32226681896388e-19,-0.233250859628756,1,1,2.57987479048043e-15,"blue"
"46","Cox7a2",3.86411383327862e-20,-0.290936299087418,0.977,1,7.53927250010992e-16,"blue"
"47","Cox7a2l",2.43222248081069e-06,-0.177024175586522,0.71,0.808,0.0474550928230975,"blue"
"48","Cox7c",1.62978285009071e-31,-0.34147522805496,0.998,1,3.17986931881199e-27,"blue"
"49","Cox8a",6.40025163888919e-23,-0.273173382938905,0.998,1,1.24875309726367e-18,"blue"
"50","Cpe",5.48271008750824e-67,0.551603525188512,1,1,1.06973156517373e-62,"red"
"51","Cst3",1.11776659650845e-39,-0.398433337803367,1,1,2.18087440644764e-35,"blue"
"52","Ctsb",1.60569137052555e-17,0.313188426142399,0.99,0.949,3.1328644330324e-13,"red"
"53","Ctsd",4.21003157826189e-08,0.243150797771941,0.908,0.821,0.000821419261234678,"red"
"54","Cx3cl1",3.88224306483739e-13,0.299727010449898,0.723,0.549,7.57464444380423e-09,"red"
"55","Cyfip2",1.26037604567048e-07,0.246938464576402,0.822,0.736,0.00245911970270767,"red"
"56","Dbi",2.39820908523415e-34,-0.501072614857893,0.981,0.996,4.67914574620035e-30,"blue"
"57","Dclk1",3.42809958440053e-09,0.29298847364632,0.67,0.549,6.68856509912387e-05,"red"
"58","Ddx3x",2.31264917782212e-09,0.371735835056854,0.471,0.355,4.51220981084874e-05,"red"
"59","Ddx3y",2.80505927618705e-37,-0.3636383467722,0,0.245,5.47295115376855e-33,"blue"
"60","Ddx5",5.7224070270657e-17,0.344329087808557,0.956,0.872,1.11649883505079e-12,"red"
"61","Dkk3",4.53936620222117e-07,0.245329959300545,0.257,0.152,0.00885675739715372,"red"
"62","Dpysl2",1.36193858795503e-09,0.256351959673903,0.906,0.851,2.65727837895906e-05,"red"
"63","Drap1",1.75898799638532e-17,-0.35265697060257,0.511,0.7,3.4319614797474e-13,"blue"
"64","Dynll2",1.62096964703021e-15,0.307326442839357,0.963,0.915,3.16267387832065e-11,"red"
"65","Ecel1",4.50952164840616e-18,-0.379710334317208,0.106,0.305,8.79852768820525e-14,"blue"
"66","Eif1",5.96139208848197e-09,-0.174550580780717,0.974,0.995,0.000116312721038372,"blue"
"67","Eif2s3y",2.65858714193372e-20,-0.207476429343482,0,0.137,5.18716937262687e-16,"blue"
"68","Eif5a",6.0728398637274e-11,-0.232635353279032,0.777,0.86,1.18487178581185e-06,"blue"
"69","Elob",1.36968235802487e-28,-0.368228621169226,0.986,0.995,2.67238724874233e-24,"blue"
"70","Enc1",1.11832626049136e-12,0.341751913890276,0.558,0.404,2.18196636684468e-08,"red"
"71","Eno1",8.53155822021505e-14,-0.323981322190973,0.702,0.811,1.66459232434616e-09,"blue"
"72","Erh",2.29441885233594e-14,-0.235391504520269,0.183,0.38,4.47664062279266e-10,"blue"
"73","Fau",8.0635101187766e-51,-0.421728066743884,0.998,1,1.5732714592745e-46,"blue"
"74","Fis1",1.89874864896338e-12,-0.247942260722448,0.848,0.916,3.70464848899245e-08,"blue"
"75","Fkbp2",2.83671493784126e-11,-0.253861410281766,0.604,0.764,5.53471451522209e-07,"blue"
"76","Fmc1",9.12090345938126e-08,-0.197636437674623,0.379,0.532,0.00177957947395988,"blue"
"77","Frmpd4",8.54241426691259e-09,-0.156413728561091,0.086,0.203,0.000166671044761732,"blue"
"78","Ftl1",9.34981878617016e-33,-0.484183634191403,0.887,0.969,1.82424314336966e-28,"blue"
"79","Gabarapl2",1.31098448273136e-08,-0.223651867109046,0.827,0.88,0.000255786182425715,"blue"
"80","Gad2",3.16480116405365e-14,-0.344200205904204,0.422,0.647,6.17484355118508e-10,"blue"
"81","Gal",5.09477732731411e-18,-0.284213472808913,0.026,0.177,9.94042004332256e-14,"blue"
"82","Gapdh",3.02438361738013e-20,-0.229481822744141,1,1,5.90087487587036e-16,"blue"
"83","Gas5",1.80743124282577e-26,-0.396033157541121,0.976,0.993,3.52647909787736e-22,"blue"
"84","Ghitm",2.13456506602196e-15,0.344882472455489,0.897,0.804,4.16474990031545e-11,"red"
"85","Glul",6.44219395758928e-07,0.235485619363756,0.958,0.929,0.0125693646306524,"red"
"86","Gm10076",1.84833295414613e-28,-0.561515654629154,0.635,0.809,3.60628242683451e-24,"blue"
"87","Gm11808",5.56687043769497e-17,-0.35126528888382,0.215,0.439,1.08615209109867e-12,"blue"
"88","Gm1673",4.22159003996753e-14,-0.309133556165493,0.691,0.841,8.23674432698065e-10,"blue"
"89","Gng3",7.24279014117721e-09,-0.204690851285326,0.885,0.929,0.000141314078444509,"blue"
"90","Gpm6a",1.15816783398048e-19,0.393224496148074,0.988,0.925,2.25970126087932e-15,"red"
"91","Gpx1",8.85957288887849e-15,-0.326699628171195,0.433,0.649,1.72859126634908e-10,"blue"
"92","Gpx4",6.17528861469011e-19,-0.296257175548575,0.99,1,1.20486056161219e-14,"blue"
"93","Grcc10",2.42113638513369e-07,-0.205230471089977,0.846,0.903,0.00472387920103435,"blue"
"94","Gria2",1.0813578112643e-11,0.348328562754762,0.567,0.429,2.10983722555777e-07,"red"
"95","Gstm1",1.68101575947065e-07,-0.207268594429425,0.712,0.823,0.00327982984830319,"blue"
"96","Gstp1",2.53512883105526e-19,-0.387295925071887,0.311,0.553,4.94628986227192e-15,"blue"
"97","Hba-a1",7.12029995814644e-23,-1.03465680005615,0.265,0.549,1.38924172483395e-18,"blue"
"98","Hba-a2",9.71121800822878e-20,-0.889552225688986,0.213,0.469,1.89475574558552e-15,"blue"
"99","Hbb-bs",6.36482314782766e-32,-1.16522581682682,0.647,0.865,1.24184064437265e-27,"blue"
"100","Hbb-bt",1.16046589699528e-15,-0.62301661619361,0.105,0.289,2.2641850116275e-11,"blue"
"101","Hcrt",2.57716649215487e-32,-1.60536921794717,0.005,0.227,5.02830954284337e-28,"blue"
"102","Hint1",1.19073034487248e-11,-0.208209579942173,0.97,0.991,2.32323397588069e-07,"blue"
"103","Hpca",3.23565976030703e-08,0.215003042987855,0.695,0.56,0.000631309575833504,"red"
"104","Hpcal4",2.51889840634166e-18,0.444193357976489,0.586,0.388,4.91462268061322e-14,"red"
"105","Hspe1",3.00542098043698e-15,-0.330908135806409,0.647,0.812,5.8638768749306e-11,"blue"
"106","Ids",1.81884996925497e-09,0.2935491915358,0.723,0.64,3.54875817501338e-05,"red"
"107","Itih3",1.94797754205805e-08,-0.257361075173914,0.353,0.509,0.000380069898230945,"blue"
"108","Kif1a",1.11239477073751e-07,0.221458147881594,0.902,0.851,0.00217039343718596,"red"
"109","Kif1b",3.52539121157867e-18,0.402919063361138,0.791,0.636,6.87839079291114e-14,"red"
"110","Klc1",9.03019968951143e-08,0.21739281164726,0.951,0.888,0.00176188226142057,"red"
"111","Lsm6",4.00222950820271e-09,-0.203468237027444,0.36,0.535,7.8087499934543e-05,"blue"
"112","Map1lc3a",4.76980450028789e-09,-0.213671514866638,0.897,0.949,9.3063655605117e-05,"blue"
"113","Mapk1",1.98050235019758e-09,0.269767040477608,0.714,0.579,3.86415813547049e-05,"red"
"114","Meg3",4.09759784236182e-44,0.614338996063544,0.988,0.893,7.99482315023214e-40,"red"
"115","Micos10",1.4414912459055e-11,-0.253893579055992,0.756,0.861,2.81249356988623e-07,"blue"
"116","Micos13",4.0035953649489e-15,-0.308548373796603,0.459,0.685,7.81141491655181e-11,"blue"
"117","Mif",2.91273401382119e-14,-0.269688551814932,0.951,0.965,5.68303533436652e-10,"blue"
"118","Mrpl52",4.76893954885806e-16,-0.352822388826782,0.459,0.675,9.30467795377696e-12,"blue"
"119","mt-Co2",2.04479012396949e-20,-0.197589280701959,1,1,3.98959001087688e-16,"blue"
"120","mt-Co3",3.38089476274228e-23,-0.166470834586141,1,1,6.59646377158647e-19,"blue"
"121","Mt1",1.79235646209747e-38,-0.451633771895088,0.998,1,3.49706669319838e-34,"blue"
"122","Mt3",2.95541821276467e-22,-0.265894401391801,1,1,5.76631647492516e-18,"blue"
"123","Napb",2.30397129132777e-06,0.239796744367408,0.635,0.555,0.0449527838650962,"red"
"124","Nckap1",1.77150545801495e-06,0.19858926557133,0.867,0.771,0.0345638429913297,"red"
"125","Ndufa1",8.06204824937267e-17,-0.321966043764595,0.75,0.859,1.5729862339351e-12,"blue"
"126","Ndufa11",2.33422543490576e-20,-0.333180096970262,0.836,0.928,4.55430724604464e-16,"blue"
"127","Ndufa12",1.1576215741639e-17,-0.309950932226353,0.874,0.949,2.25863545335118e-13,"blue"
"128","Ndufa13",2.28329691414666e-34,-0.448099828045921,0.948,0.989,4.45494060919154e-30,"blue"
"129","Ndufa2",5.5038679866555e-12,-0.251037848942077,0.946,0.967,1.07385968287635e-07,"blue"
"130","Ndufa3",2.40686290795565e-25,-0.379513118836945,0.937,0.981,4.69603021971227e-21,"blue"
"131","Ndufa4",2.9350329439997e-21,-0.259827248236548,0.997,1,5.72654277703781e-17,"blue"
"132","Ndufa5",2.22317181510733e-16,-0.307852501510063,0.925,0.964,4.33763052845591e-12,"blue"
"133","Ndufa6",3.3862227176546e-15,-0.267176508200117,0.937,0.968,6.6068591444159e-11,"blue"
"134","Ndufa7",2.72246153241009e-17,-0.318267651245232,0.82,0.912,5.31179469588533e-13,"blue"
"135","Ndufa8",8.98420103595578e-10,-0.260701761613516,0.572,0.727,1.75290746412533e-05,"blue"
"136","Ndufab1",1.58160363503453e-13,-0.284089037647317,0.78,0.879,3.08586685231587e-09,"blue"
"137","Ndufb1-ps",2.90927352124231e-16,-0.287542980910574,0.979,0.983,5.67628356729587e-12,"blue"
"138","Ndufb10",2.04250244199314e-13,-0.281446986149645,0.85,0.915,3.98512651457281e-09,"blue"
"139","Ndufb11",1.66558820256103e-19,-0.337839241083545,0.743,0.888,3.24972914201683e-15,"blue"
"140","Ndufb2",1.86965424421281e-13,-0.283393450603577,0.867,0.932,3.64788239588362e-09,"blue"
"141","Ndufb3",1.95689183513569e-10,-0.263295697574076,0.628,0.777,3.81809165953324e-06,"blue"
"142","Ndufb4",2.28275138331727e-25,-0.379337532424335,0.902,0.965,4.45387622399033e-21,"blue"
"143","Ndufb6",1.50896499349552e-13,-0.295617049925984,0.728,0.843,2.94414159880911e-09,"blue"
"144","Ndufb7",4.68901232643804e-13,-0.291404798639069,0.642,0.809,9.14873195011326e-09,"blue"
"145","Ndufb8",6.2075545597105e-19,-0.31849522427157,0.935,0.975,1.21115597014511e-14,"blue"
"146","Ndufb9",1.29746999550953e-15,-0.270762460303609,0.925,0.967,2.53149370823865e-11,"blue"
"147","Ndufc1",1.09885424585511e-10,-0.215749674000798,0.962,0.971,2.14397451908791e-06,"blue"
"148","Ndufc2",6.37578260754156e-09,-0.232862050818347,0.813,0.856,0.000124397894455743,"blue"
"149","Ndufv3",5.70818524153301e-19,-0.316561208601243,0.796,0.909,1.11372402247551e-14,"blue"
"150","Neat1",2.94404485610613e-08,0.299180110518882,0.365,0.243,0.000574412591874868,"red"
"151","Nenf",8.96531174261758e-07,-0.208849650336274,0.674,0.768,0.0174922197410212,"blue"
"152","Ngb",1.29158801224719e-06,-0.143842292275552,0.112,0.213,0.025200173706955,"blue"
"153","Nnat",2.35647789632707e-10,-0.288969131691092,0.726,0.863,4.59772402352375e-06,"blue"
"154","Nop10",1.25871163859051e-08,-0.187002762037721,0.447,0.629,0.000245587227805395,"blue"
"155","Nptn",3.12422282520822e-16,0.338787241643705,0.934,0.853,6.09567115426375e-12,"red"
"156","Nptxr",7.06700173037325e-17,0.349205702871185,0.613,0.412,1.37884270761312e-12,"red"
"157","Nrgn",2.38955370512179e-20,0.392737697047731,0.949,0.788,4.66225823406312e-16,"red"
"158","Nrsn1",2.76915756449755e-07,0.246306355792776,0.719,0.655,0.00540290332409117,"red"
"159","Nsf",9.0728963294436e-17,0.348674191688046,0.955,0.876,1.77021280283774e-12,"red"
"160","Nupr1",8.72816204914868e-07,0.160035767129571,0.145,0.064,0.017029516974094,"red"
