clusters,sample,cell.no,genotype.total,ratio,groups,avg,sem
0,M_Ctrl_1,555,1382,0.401591896,M_Ctrl,0.382201112,0.012532581
1,M_Ctrl_1,497,1382,0.359623734,M_Ctrl,0.356409492,0.038371546
2,M_Ctrl_1,262,1382,0.189580318,M_Ctrl,0.188845195,0.016160638
3,M_Ctrl_1,66,1382,0.047756874,M_Ctrl,0.065242372,0.016323596
4,M_Ctrl_1,0,1382,0,M_Ctrl,0.00342274,0.001711619
5,M_Ctrl_1,2,1382,0.001447178,M_Ctrl,0.00387909,0.001288399
0,M_Ctrl_2,494,1377,0.358750908,M_Ctrl,0.382201112,0.012532581
1,M_Ctrl_2,580,1377,0.421205519,M_Ctrl,0.356409492,0.038371546
2,M_Ctrl_2,221,1377,0.160493827,M_Ctrl,0.188845195,0.016160638
3,M_Ctrl_2,69,1377,0.050108932,M_Ctrl,0.065242372,0.016323596
4,M_Ctrl_2,7,1377,0.005083515,M_Ctrl,0.00342274,0.001711619
5,M_Ctrl_2,6,1377,0.004357298,M_Ctrl,0.00387909,0.001288399
0,M_Ctrl_3,596,1543,0.386260531,M_Ctrl,0.382201112,0.012532581
1,M_Ctrl_3,445,1543,0.288399222,M_Ctrl,0.356409492,0.038371546
2,M_Ctrl_3,334,1543,0.216461439,M_Ctrl,0.188845195,0.016160638
3,M_Ctrl_3,151,1543,0.097861309,M_Ctrl,0.065242372,0.016323596
4,M_Ctrl_3,8,1543,0.005184705,M_Ctrl,0.00342274,0.001711619
5,M_Ctrl_3,9,1543,0.005832793,M_Ctrl,0.00387909,0.001288399
0,M_3wk_1,241,485,0.496907216,M_3wk,0.435104438,0.033238203
1,M_3wk_1,48,485,0.098969072,M_3wk,0.120369607,0.013188674
2,M_3wk_1,86,485,0.177319588,M_3wk,0.183469978,0.017726719
3,M_3wk_1,31,485,0.063917526,M_3wk,0.096101755,0.016817771
4,M_3wk_1,58,485,0.119587629,M_3wk,0.142012577,0.018286199
5,M_3wk_1,21,485,0.043298969,M_3wk,0.022941645,0.010520087
0,M_3wk_2,419,1094,0.382998172,M_3wk,0.435104438,0.033238203
1,M_3wk_2,158,1094,0.144424132,M_3wk,0.120369607,0.013188674
2,M_3wk_2,171,1094,0.15630713,M_3wk,0.183469978,0.017726719
3,M_3wk_2,132,1094,0.120658135,M_3wk,0.096101755,0.016817771
4,M_3wk_2,195,1094,0.178244973,M_3wk,0.142012577,0.018286199
5,M_3wk_2,19,1094,0.017367459,M_3wk,0.022941645,0.010520087
0,M_3wk_3,365,858,0.425407925,M_3wk,0.435104438,0.033238203
1,M_3wk_3,101,858,0.117715618,M_3wk,0.120369607,0.013188674
2,M_3wk_3,186,858,0.216783217,M_3wk,0.183469978,0.017726719
3,M_3wk_3,89,858,0.103729604,M_3wk,0.096101755,0.016817771
4,M_3wk_3,110,858,0.128205128,M_3wk,0.142012577,0.018286199
5,M_3wk_3,7,858,0.008158508,M_3wk,0.022941645,0.010520087
0,F_Ctrl_1,394,853,0.461899179,F_Ctrl,0.42345093,0.022235688
1,F_Ctrl_1,155,853,0.181711606,F_Ctrl,0.216212998,0.020828785
2,F_Ctrl_1,238,853,0.27901524,F_Ctrl,0.249368525,0.015175497
3,F_Ctrl_1,51,853,0.05978898,F_Ctrl,0.100652357,0.020732148
4,F_Ctrl_1,1,853,0.001172333,F_Ctrl,0.002719354,0.000778099
5,F_Ctrl_1,14,853,0.016412661,F_Ctrl,0.007595835,0.00446069
0,F_Ctrl_2,575,1494,0.384872825,F_Ctrl,0.42345093,0.022235688
1,F_Ctrl_2,379,1494,0.253681392,F_Ctrl,0.216212998,0.020828785
2,F_Ctrl_2,342,1494,0.228915663,F_Ctrl,0.249368525,0.015175497
3,F_Ctrl_2,190,1494,0.127175368,F_Ctrl,0.100652357,0.020732148
4,F_Ctrl_2,5,1494,0.00334672,F_Ctrl,0.002719354,0.000778099
5,F_Ctrl_2,3,1494,0.002008032,F_Ctrl,0.007595835,0.00446069
0,F_Ctrl_3,582,1374,0.423580786,F_Ctrl,0.42345093,0.022235688
1,F_Ctrl_3,293,1374,0.213245997,F_Ctrl,0.216212998,0.020828785
2,F_Ctrl_3,330,1374,0.240174672,F_Ctrl,0.249368525,0.015175497
3,F_Ctrl_3,158,1374,0.114992722,F_Ctrl,0.100652357,0.020732148
4,F_Ctrl_3,5,1374,0.00363901,F_Ctrl,0.002719354,0.000778099
5,F_Ctrl_3,6,1374,0.004366812,F_Ctrl,0.007595835,0.00446069
0,F_3wk_1,432,968,0.446280992,F_3wk,0.434306271,0.01337234
1,F_3wk_1,93,968,0.09607438,F_3wk,0.111078309,0.016960903
2,F_3wk_1,193,968,0.199380165,F_3wk,0.213829433,0.012266683
3,F_3wk_1,122,968,0.126033058,F_3wk,0.100846792,0.014172379
4,F_3wk_1,124,968,0.128099174,F_3wk,0.13250555,0.006022782
5,F_3wk_1,4,968,0.004132231,F_3wk,0.007433646,0.001962368
0,F_3wk_2,370,824,0.449029126,F_3wk,0.434306271,0.01337234
1,F_3wk_2,76,824,0.09223301,F_3wk,0.111078309,0.016960903
2,F_3wk_2,168,824,0.203883495,F_3wk,0.213829433,0.012266683
3,F_3wk_2,82,824,0.099514563,F_3wk,0.100846792,0.014172379
4,F_3wk_2,119,824,0.144417476,F_3wk,0.13250555,0.006022782
5,F_3wk_2,9,824,0.01092233,F_3wk,0.007433646,0.001962368
0,F_3wk_3,450,1104,0.407608696,F_3wk,0.434306271,0.01337234
1,F_3wk_3,160,1104,0.144927536,F_3wk,0.111078309,0.016960903
2,F_3wk_3,263,1104,0.238224638,F_3wk,0.213829433,0.012266683
3,F_3wk_3,85,1104,0.076992754,F_3wk,0.100846792,0.014172379
4,F_3wk_3,138,1104,0.125,F_3wk,0.13250555,0.006022782
5,F_3wk_3,8,1104,0.007246377,F_3wk,0.007433646,0.001962368